hư hại	破坏
phụ tá	副官
Lúa mạch	薏
Dongzheng	东征
Sumen	苏门
Số lượng lớn	大批
thẩm định, lượng định, đánh giá	评定
Theo	叼
Hoàng tử	诸侯国
N: Xứng đáng	功德
Có xu hướng	往往會
khó khăn	艱難
khu vực	域
Sui	绥
thiết bị	器具
Thủ công	手動
Panyu	番禺
Đường cao tốc Tai Po	大埔公路
cơ sở	設施
Huyền phù	懸掛
bệnh viện	醫院
theo sát	跟進
Cá mèo	鮦
Đường Bay	灣道
Tốt bụng	蔼
Người lớn	成年人
Chi	暕
Tàn phá	甡
Disney	迪士尼
Lột vỏ	皮爾
Cây bản địa	本植物
Nhầm lẫn	混淆
Chống tăng	反坦克
xương sống	棘
Chạy	奔
Hồng Kông	香港
chà xát	揉
bắt giữ	逮捕
Ứng cử viên	考生
sự dũng cảm	燴
đô la Mỹ	美元
may mặc	服饰
Yankee	洋基
nghẹt thở	嗆
Gia Cát Lượng	诸葛亮
bày tỏ	特快
in	印刷
hai ngàn	兩千
phòng bếp	灶
Fu	涪
trừng phạt	誅
Tan	譚
riêng tư	隐私
cơ quan	組織
Sao chép	副本
quả anh đào	櫻
Thời gian trận đấu	賽時
Âm	郿
kỹ thuật số	数字
thuốc lá	烟草
bang hội	公会
Nhân Viên	参谋部
cạc-bon đi-ô-xít	二氧化碳
đậu bắp	蕣
Inch	吋
Thắng lợi	夺得
Trong tâm trí	心中
Bo	亣
Xã hội đen	黑幫
thạch tín	砒
Nhân loại	人於
Và từ	並從
Meiji	明治
Khinh thường	藦
Phản ứng	回應
Tis	蒂斯
duy trì	維護
khua khoắng	耞
Huyền bí	推理小說
gián tiếp	間進
Vĩnh Châu	雍州
tuyệt quá	極大
Tiếng Anh	英吉利
tính cách	人物
Trường học	黉
Được bầu là	獲選為
Ẩm	槖
Đầm lầy	蝜
scandium	钪
truy vấn	勸說
Dài	長期
Lan Châu	蘭州
Vương quốc	演义
Công ty là	公司為
Matxcova	莫斯科
Taitung	台東
trắng	怀特
di chuyển	动
Khu rừng	林區
Làm suy yếu	减弱
Tha	借口
Thành phố Đại Đồng	大同市
Alba	阿尔巴
con gián	蟑
Chín một một	九一一
Hình cầu	球面
nhuộm	染色
Sauropod	蜥腳下目
trang	页
Mã nguồn mở	开源
Hạt Ping	平县
nho giáo	孔子
Cúp Hiệp hội	協盃
ngành công nghiệp	產業
Thu hải đường	秋海棠
Móc	胡克
Phòng trưng bày	展厅
vài lần	幾次
Truyền hình cáp	線電視
Tường	垣
Nam thái bình dương	南太平洋
chủ nghĩa đế quốc	帝国主义
Raza	拉扎
thảm họa	禍
Ting	廷
Phía trong	在内
Nung	煅
ghi lại	录
Quận Changhua	彰化縣
Virus corona	冠状病毒
Huấn luyện viên	执教
Sân cỏ	投球
Sway	淎
nhận con nuôi	收养
mở rộng	擴大
câu trả lời	答案
chim	鸟类
Rao	饒
Hoven	霍芬
Ở đâu	哪
benzen	苯
Thứ năm	星期四
Công việc	功
mạnh	强烈
Hồi	清真
tóc	毛
giữ	持有
sự lo ngại	惶
Chủ nhân	本主
Bằng một lợi nhuận lớn	大幅度
Phổ biến	热门
sự phát triển của	的發展
Bãi bỏ	廢藩置
Cỏ	草地
Từng cái một	一一
Trước chiến tranh	戰前
cánh đồng	領域
Pina	翩
phòng bếp	厨
Thứ mười bảy	十七日
Tìm thấy	找
Đĩa	磁盘
Chỉ	显
Để ý	告示
viết lại	改寫
chuỗi	链
Trực tiếp điều hành bởi	直辖
Nhân viên thời gian	員時
Người phiên dịch	譯器
Zhu	轁
Men	鋊
Đính kèm	附送
cây du	榆
Ba bốn	三四
Ru	瑠
công thức	配方
Bảy	七
Thiết lập	开办
chức danh	职称
Chất lượng	質素
kênh	渠道
đánh trống	咢
khô	乾
đỏ thẫm	纁
dung hợp	聚变
Francisco	弗朗西斯科
tuổi thọ	嘏
Nhà công nghệ	術師
Cháu trai	之孫
Chu	鷿
Cổ áo quốc gia	國領
khối	阻塞
kèn	特朗普
Mập	膴
Đa thức	多项式
viết	籀
Pháp mở cửa	法網
ngập úng	澇
Thâm Quyến	深圳市
Thành viên của bữa tiệc	黨員
Quay	转动
Lớn lên	茁
Được xây dựng trong	内置
Sinh đôi	孿
hiểu biết	識
mắng mỏ	诘
táo	蘋果公司
Jiri	尻
thất vọng	憮
xương khớp	骱
Hun	碤
Matt	马特
nếu không thì	不然
nghi phạm	嫌疑人
Tình cờ gặp	跹
Sho	扌
hào khô	隍
giăm bông	火腿
đội bóng rổ	籃球隊
không khí	空氣
Vienne	维埃纳省
Toàn quyền	全權
phân bón	肥料
Thơ	诗词
Chăm sóc y tế	醫護
Xây dựng lại	改建
suy thoái	降解
Brunswick	不伦瑞克
cuộc biểu tình	示範
khuyến khích	貤
Zhang	昛
Sở hữu toàn	全资
Mi	宓
Không khí	艾爾
đọc	閱讀
mũi tiêm	注射
Nên kinh tê	經濟體
Cá lóc	鳺
Công tố viên	檢察官
Ấn Độ giáo	印度教
Sẽ thay đổi	會改變
điều này	本
không liên quan	眛
không phải	毋
dốc	坡度
Herzegovina	黑塞哥
Mờ nhạt	沄
Chỉ	秀
Chữa lành	愈
Dakko	達科
Vắt kiệt	搛
sự hội tụ	收敛
kịch bản	脚本
Kus	库斯
Ju	茱
cai trị	裁決
ngắn	矮
Cổng núi	山门
Duy Nhất	鰨
vôn	伏特
tên lửa	火箭
Cánh tả	左派
Chiên	油炸
cây búa	槌
Video	录像
Đi xuống	下去
đỉnh cao	巔峰
Sư đoàn	司署
chũm chọe	鐃
Thắt nút	结
Phòng làm việc	工作部
Âm	黱
Thánh Joseph	聖若瑟
Cơ điện	機電
sốt	發炎
Làng Vịnh	湾村
Dun	敦
Theo thời gian	與時
Đồng hồ đeo tay	观看
Nội chiến	內戰
câu lạc bộ	俱乐部
Khoa học tự nhiên	自然科学
Khoe khoang	骚
bánh xe	軲
ngăn chặn	防止
tua mũ	綖
Rào	阘
chín	九個
Ngoài giá	下架
Fu	懫
sự phân giải	決議
cáp	纜
Ngay trước đó	方可
Noy	诺伊
thần kinh	神經
cẩn thận	清醒
Chỉ có	孹
Cá vây tia	輻鰭魚
Hiện tại	目前
Nghẹt thở	搤
ít hơn	少於
Sự cố Mukden	九一八事变
Phản đối	反對
Yi	懌
Giọng nói	之聲
Hiệu trưởng	主事
Gió và mưa	风雨
hoàn hảo	完善
Ông già	老君
Dan	郸
Hội tụ	交匯
Phiên họp toàn thể trung ương	中全会
Chiến tranh	大戰
nhà ở	房子
Đối với Vương quốc Anh	為英國
Zhen	貞
Khởi đầu	入手
Vado	瓦多
đã phát triển	发达
Peck	佩克
kiểm tra	測試
con chuồn chuồn	螂
Giống	繁殖
Toàn quốc	全國
Đứng như	立为
liên quan	关心
Burley	伯雷
kim cương	菱形
Thương tiếc	檄
mô hình	模範
Châu Á	亞
Wei	廻
chính	重大
Thực tế	寫實
Mặc du	虽
Ngày thứ mười	初十
cuối năm	年終
Reel	龘
Ngốc nghếch	跶
Thủ công	工艺
kiềm chế	克制
Mở ra	开业
nứt	嚦
Cặp đôi	夫妇
sẽ	意志
Ngọc rồng	龍珠
sự bức xạ	辐射
Video	視訊
Liên hoan phim	電影節
E	莪
Kabi	卡比
Cơ sở	基层
Ken	肯
Kawamachi	川町
Trung thành	忠信
Xẻng	鐔
kiểm toán	审计
Giống nhau	同源
Đạo văn	抄袭
bước sóng	波长
miệng vỏ	光圈
Kết hôn	嫁给
Hãy từ chức	請辭
bệnh truyền nhiễm	傳染病
chim	鳥類
Thống đốc	知事
Nanyang	南陽
máy móc	機器
Trưởng quân đội	軍總
Muốn	缉
Charles	查尔斯
Đột nhập	闖進
Ở trong	处在
Ku	隀
liều lượng	剂量
tiệc	筵
Brandenburg	勃兰登堡
hình ảnh	影像
Khuyến mại	晉級
Bộ phận biên tập	编辑部
nhai	嚼
Chớp cánh	躅
vẫn	仍
Canton Trung Quốc	中國廣
Đặt hàng	書令
Se	濑
nguyên	原來
Bắt đầu làm việc	动工
ion	離子
ngày Quốc khánh	國慶
Chua	錥
phô mai mềm của Pháp	布里
Bên	舷
Chân thành	衷
Sinh lý học	生理学
Và để	並讓
Chính phủ quân sự	军政府
thông thoáng	清
Lucy	路西
sự đóng góp	贡献
Zhi	栛
Sheung Wan	上環
Các triều đại phương Bắc	北朝
đánh bại	敗
trơn tru	平滑
sự thoải mái	慰
dần dần	渐
Lorenz	洛伦兹
giỏ tròn có nắp	篚
liền kề	鄰
Quyền hạn	管辖
bắt đầu	開頭
hơi cháy	絜
hoặc là	抑或
Bìa trên	上蓋
đã tham gia	參加過
Đưa vào sử dụng	投入使用
Lorida	羅里達州
Hiếm hoi	少見
Lịch sử	史中
thơm ngon	美味
Sửa chữa	修正
Có thể	可將
Giá cả	造價
sưng lên	腫
Đặt ra	定出
Tùy tùng	随从
Chi	袌
Âm	茵
Chỉ trích	诤
Ngày tiếp theo	翌日
Biến đổi	轉化
Định tính	质性
Được	拟
Chad	乍得
con vẹt	鵡
Thích	赞
Đổi	折合
Milan	米兰
ôm	搿
Bắc Phi	北非
Đi xuyên qua	歷經
Thiên đường	天上
Buda	布達
điều chế	调制
càu nhàu	叽
thám tử	侦探
Đối với Hàn Quốc	為韓國
Cơm	大米
Nước Ý	意大
Đồng minh	協約國
Nhanh	儵
Ju	苴
Điều trị y tế	醫療
Sắc ký	色谱
chứng chỉ	証
Zhang Tai	章太
Gali	伽利
Khác thường	失常
Shia	什葉派
Hetao	河套
quân đội	军事
Toàn bộ lãnh thổ	全境
Tên chung	通稱
Tình yêu mới	愛新
cổ đông	股东
khăn phủ bàn	裯
Phần ba	三分之
chim ưng	鹘
không tốt	不好
Newcastle	纽卡斯
Shibuya	澀谷
Chào	喂
Âm	褍
giải phóng	释放
Lão Cô	老舍
phenol	酚
Trung Phi	中非
Bao vây và ngăn chặn	围剿
cháu trai	孙子
Tôn giáo	神教
bờ biển	澨
Sở	部於
Đến	以第
phỏng đoán	怙
Phía đông	东边
Cặp đôi	情侶
Yu	虞
gần như-	準
Brezhnev	勃列日涅夫
Julian	儒略
Bán	卖
Kết thúc	幕末
Pháp	法国
Cách này	此路
Yu	煜
thứ mười một	第十一
Lincun	林村
Dập tắt	滅
xử lý	把手
Lô hàng	分批
Vatican	梵蒂
nói nhỏ	劘
Maher	馬赫
Đài kỷ niệm	追悼
bào thai	胎
Vết ố	漬
tỉnh	省
ba mươi	卅
hằng ngày	每日
Leicester	萊斯特
bí mật	偷偷
Shiliang	時兩
khó xử	尷尬
Lu	潞
mãi mãi và luôn luôn	永远
Sk	斯克
Người thay thế	代為
thương	矛
nổi danh	著名
Sheng	盛
Kiên quyết	毅然
dẫn đầu bởi	為首
Từ khóa	关键字
Nurhaci	努尔哈赤
phô mai	奶酪
người đi bộ	行人
con tôm	虾
Mực và rửa	水墨
Hành trình	路程
Vội vàng	趕
Đi	出境
phóng đại	誇張
Không khí	氛围
cây	植
xoang	竇
giá bán	价
Nắm bắt	奪下
Cao	曹
Im lặng	沉寂
anh chị em họ	表妹
Tiêu đề	書名
Không được liệt kê	不列
ướt	濕
heo	彘
Sản xuất	製片
phép lịch sự	礼仪
Coff	乔夫
Hảo	濠
liên kết	連結
cắt giảm	減少
Ăn mừng	庆
Vonfram	钨
đặc biệt	特地
mềm dẻo	耎
tuần tra	巡
tiếng Ả Rập	阿拉伯語
Hu	霩
mang	携带
Chiếm ưu thế	為準
Venezuela	委內瑞拉
Đã biết	所知
tỉnh lỵ	省会
thành phố tự do	自由城
Viper	毒蛇
sự phán xét	判断
Chúa tể	領主
Tại chỗ	到位
Lil	利爾
Công khai	公示
Phát hiện	偵
Tiao	朓
Chu	俶
Qi	齐
Zenghe	曾和
Lấy trộm	偷走
Cấp	蘭克
tuân theo	聽從
Chăm lo	打理
Trẻ hóa	復國
Đẹp	俦
Đồng thời	併發
Quà tặng	贈
Xichang	西昌
Lai ghép	杂交
Di chuyển thủ đô	遷都
Wen Tianxiang	文天祥
Thuế	赋税
Tianzhu	天柱
Cao răng	韃
sắc đẹp, vẻ đẹp	美貌
giới trẻ	年轻人
Ying	倴
hợp lý	合理
Sau khi đóng cửa	結後
Cứu người	救人
Shaw	邵氏
Kiểm tra	驗
Indole	哚
Quận	该县
bảy mươi hai	七十二
Westminster	西敏
Wei	嶮
Y học Trung Quốc	中医
Sẽ	威爾
du lịch	遊歷
Nordin	諾定
sâu non	蛆
Sàn nhà	層樓
miệng	口服
nhỏ mọn	琐
cấu tạo	構成
cám	糠
tình hình	情勢
Sâu	蝱
Gal	加爾
Dung môi	溶劑
Bị giết	丧生
Trụ trì	住持
Và làm	並使
Xu	昫
Hát	鯮
Xử Nữ	室女座
qua nhiều năm	历年
Guanzhen	关镇
Phiến quân	造反派
đá	蹶
Caledo	喀里多
Li	苡
Sway	挢
Al	阿爾
Phong cách	款式
Những giọt nước mắt	催淚
trái cây	菓
Giáo dục tỉnh	教省
mạnh	強壯
phòng ngừa dịch bệnh	防疫
Sóng ánh sáng	光波
mã hóa	编码
Dọa nạt	恐嚇
Đại hội thể thao châu Á	亚运会
Thời gian đặt	時設
Gao	郜
Kết hợp với nhau	綰
nghỉ ngơi	歇
Thêm vào	加以
Đài Bắc	台北
Jedi	絕地
chó	犬
Deng Xin	灯心
Bún	竻
Lịch sử lâu đời	長史
Chính trị	政壇
Đa dạng	变化
Quà tặng	禀
nóng ẩm	溽
Bác sĩ	医师
Quế Lâm	桂林
Gánh nặng	擔
chiều rộng	寬度
Kinh kịch	京劇
ăn	吃
spaniel	獚
Cây bút	豲
thuế quan	關稅
Tang	惢
Anh ta	赫
Óc	腦部
sổ tay	手冊
Bộ Tư pháp	律政司
lôgarit	對數
mẹ	媽
Hự	唉
Thường xanh	長青
dây thừng	绳
Hamburg	漢堡
chủ nhân	业主
giới thiệu tóm tắt	拖车
Vỏ sò	舍尔
tuyệt vời	高超
bị cáo	被告
Vòng	襻
Phthalo	酞
Crest	嵴
bờ Nam	南側
Cũng	以至
Khung	楨
Bộ sưu tập	收藏品
Và màu vàng	與黃
rất nhiều	许多
đã có thể	能夠
khổng lồ	庞大
Sự khác biệt	差别
Động cơ xe	動車
Rein	缰
tàu tuần dương	巡洋艦
Hồi tưởng	泝
Sau này	後來於
Nhà xuất bản	出版商
Tổng doanh số	總銷
Bộ chuyển đổi	变流器
đường phía Tây	西路
Servi	塞爾維
Trevally	鲹
chạm đến	傷口
liên kết	缧
ytterbium	鐿
Số Pi	邳
Ah	嗄
wack	怪人
ấm áp	燖
cắt	剮
Jack	傑克
Kim giờ	时针
Đọc	唸
Ôxít	氧化物
tiếng sét	霹靂
Anh trai	兄長
Hualien	花蓮
Chọn	埰
Sullivan	沙利文
Bởi	經被
Lái xe	駛
Đại học chính trị	政大
Trong vấn đề	事上
Ôn tập	检讨
con quỷ	惡魔
Chúng tôi gửi	們發
nhà máy điện hạt nhân	核电站
Khờ dại	痴
Pedicel	花梗
Nhưng	而是
cỏ dại	薉
trong khoảng	大约
Không cố ý	無意
Bute	弼
thể loại	類別
Co lại	縮
Yên tĩnh	谧
Công	龚
Ám sát	暗殺
Gastropod	腹足
nhà ở	房舍
Gạo nếp	餶
metyl	甲基
Tàn tật	残
Ye Jianying	叶剑英
Bí danh	化名
lỗ trên tường	窬
ga tàu	台
Benz	奔驰
luân lý	道德
Buổi triển lãm	會展
tối đa	最大
Nghe	聽聞
hiệu ứng	傚
Ma Kai	馬偕
Liu	琉
Chính kịch trên đài	廣播劇
Dập tắt	灭
Bề mặt	地表
Câu cao	高句
Chang	昌
thủ đô	首都
kết hôn	成婚
Mi	瀰
Nankang	南康
Các triều đại Bắc và Nam	南北朝
Xâm nhập vào	渗
Bạch vân	白云
Khóc lóc thảm thiết	痛哭
sự cần thiết	必要性
bismuth	鉍
khung	框
Vội vàng	拵
thành trì	據點
Mona	摩納
Liên minh	聯隊
Philharmonic	爱乐
Bạn sẽ	爾會
Ba mươi lăm	三十五
Ding	鐦
Treo	穏
Đường sắt cao tốcQuận này	高速鐵路本縣
vặn to lên	找到
Hộ gia đình	户
Tia cực tím	紫外线
Lớp dưới cùng	底层
La	菈
Tiểu bang	州
Dara	達拉
từ ngữ	單詞
Chenzhou	郴州
Lan tràn	散播
Chang-Ping	常平
Sanyo	山陽
Madden	勁爆
giấy	論文
Li	骊
Yuya	魚亞
cá lùn	矬
Zuo	佐
viết một bức thư	写信
Ấn-Âu	印欧
Mỹ La-tinh	拉丁美洲
Oh	咁
Trotsky	托洛茨基
hoa mỹ	勃勃
Đồng hồ mặt trời	日晷
sự phán xét	判斷
Bắc	以北
Hòn đảo	该岛
giữ nhanh	坚守
nghiêm trọng	认真
Isère	伊泽尔省
cô dâu	新娘
Bởi người	因人
Nuuk	努克
Đây	喏
có thể	可能
cuộc thám hiểm	远征
Chiết Giang và Giang Tây	浙赣
bị hỏng	破碎
không rõ ràng	緲
Virginia	維吉尼亞州
đột nhiên	突
Sự cần thiết	關鍵
Giữ	举行
Luang	銮
Đường	製糖
rút lui	撤
Sau đó không có gì	則無
hiển thị lòng trắng của mắt	眅
Hong Kong và Kowloon	港九
Khoa học và Công nghệ	科技大
Dị giáo	异端
Phi lợi nhuận	非利
nợ	欠
Thở dài	憟
vườn bách thú	動物園
Zhang	璋
Giày ống	靴
bức vẽ	畫
Tiền bạc	款項
Quở trách	斥
Đối với	的為
hướng dẫn	歸納
Đổ	捖
Chỉnh sửa	整流
Tahara	田原
ca hát	歌聲
Thời gian	时
đục đẽo	鑿
Mỗi đêm	每晚
không khí	气氛
Ding	軇
Nhà vệ sinh	厕所
Tiếng Do Thái	希伯来语
Địa điểm	処
Điềm lành	祥
chim đa đa	鹧
Học	修讀
Ling	梿
Bang	梂
Hoa	布隆
phần mộ	墳墓
hướng Tây	西部
Thổi	布洛
Nhiều hơn	余
đến cuối cùng	到底
chỉ có	只不过
trộn	遝
Lạch nhỏ	汜
rộng	寬闊
Không có tội	无罪
Giám sát	監察
Điều này	這份
đấu	独奏
Ngọc bích	玉器
Xiping	西平
Câu chuyện dài	長篇
Wu	兀
phanh	剎
Nam giới	雄
liên đoàn	聯賽
đuốc	火炬
Chạm đến	擊傷
phun ra	擠壓
có xu hướng	趋向
Zhu	筯
sau đây	以下
chấp thuận	宽容
Trạm Bay	灣站
Dịp	际
Khán giả	观众
Bọn trẻ	孩童
ổn định	穩定性
sự thành công	成功
Thùy	裂片
Tây An	臑
Cựu chủ tịch	前主席
Ying	颖
Dingxian	定县
Chính quyền	政體
Trên không	架空
Cartier	卡捷
Mô hình	車型
bột mì	麵粉
lệnh cấm	取缔
ngoại lệ	例外
WHO	谁
Phòng ban	所部
Readme	自述
Im lặng	噓
Qi	杞
Điều khiển	控制权
Thời gian máy	機時
đo lường	度量
Thủ đô quốc gia	国都
Poole	普尔
Dòng mở	線開
Iraq	伊拉克
Quân đội Giải phóng Nhân dân	解放軍
Không đều	不平
Bria	布里亚
Lang	閬
kết thúc	結尾
Amy	艾米
Sun Hee	淳熙
Su	晹
Đau khổ	罹患
Tự chủ	自主
kết thúc	告終
tìm	征求
lực sĩ	運動員
trưởng khoa	德安
Ủy ban khu phố	居委会
Quái thú	獸屬
tương lai	期货
Hai nơi	两地
Shimo	下野
tha lỗi	恕
Dorf	多夫
Chứng thư	事迹
Hungary	匈牙利
Hậu vệ	守军
Sau	完後
chết vì đói	殣
Kể từ thời thơ ấu	從小
Dap xe	乘车
Nobel	諾貝爾
Danh sách sao	星表
Ba sản phẩm	三品
Trở nên	變得
Được rồi	萊特
Thoát	戒
Tỷ	億
không may	可惜
Dân làng	村民
tất cả	遍
cá cược	賭
Li	霝
Dis	迪斯
Yu	鴮
quân đội	军方
Li	槩
Tên Cu	旧称
Khai Phong	開封
Rinpoche	仁波切
Quý dương	贵阳
gia đình hoàng gia	王室
Tháng sáu	六月
Tiêu chuẩn kép	双準
Tên chính thức	官名
chuyển đổi giới tính	变性
Tường thuật	敘事
Công bằng	股权
Phòng ban	部門
nịnh nọt	嫵
Bài hát nhịp	詠
sự sáng tạo	創作
Phó giáo sư	副教授
đã chết	死人
nhỏ mọn	瑣
Thiểm	陜
Sao Paulo	聖保羅
sử dụng	採用
keo kiệt	吝
kẻ thù	敌
Dro	德罗
Bước tới	上前
bất diệt	不朽
Quân đội	諸軍
đọc	閱
Sau việc làm	業後
Minny	明尼
Ngang	橫向
Ở ngoài	區外
Bí mật	隐居
Zhu	蓛
làn điệu	旋律
Bản đồ	马普
thân hình	機身
rắc rối	愦
Chùa núi	山寺
chính xác	更正
sự chỉ trích	批评
học	學學
IPO	招股
Có ý thức	自覺
đường phố phía nam	南街
đổi	交換
Cuộc hẹn nặng nề	重約
Muzon	穆宗
Độc lập với	獨立於
thất nghiệp	失業
làn da	皮膚
Chủ nghĩa tự do	自由主义
Hiệu trưởng và phó	正副
Tách rời	隔
Đối mặt với	面向
Màn	螢幕
Sản xuất từ	产自
Ange	安哥
Nghi thức	禮部
Aga	阿加
A	楃
Con thỏ	兔
Gaozhou	高州
hữu nghị	谊
Kỷ luật tự giác	自律
Đốt cháy	灼
nghi ngờ	疑问
Lund	隆德
Nada	纳达
Ô tô	個車
luận tội	彈劾
mưa đá	霙
Chưa từng có	前所未有
Gallia	加利亞
Zheng	錚
Số và	號及
Kỹ lưỡng	闡述
Chỉ có	惟有
Tao	濤
Ming	忞
Thất vọng	撉
thỏi	锞
mũi tiêm	噴射
và	并
Đại diện nhân dân	人民代表
Cho đến chết	處死
Giới thiệu	引入
Hai mươi bẩy	二十七
Viễn thông quốc tế	國際電
động năng	動能
Chờ giáo dục	等教育
Vast	广大
Jaro	雅罗
phèn chua	礬
Luo	淯
Min	岷
Khác nhau	各异
đất ruộng	農田
Chim ó	鵟
Va hôn	和親
đèn lồng	鑭
Phức tạp	繁
liti	鋰
Lớp một	初一
Giao diện người dùng	用户界面
sự sống và cái chết	生死
Vật chất	材質
Đẩy lên	撀
Bình minh	曙
lựa chọn	选择
khóc	泣
Tách ra	分家
Qi	鏚
thư	郵
Thiết bị sóng	波器
đuốc	爝
hòa giải	调和
con đường núi quanh co	嵼
ngã	堕
vòng quanh thế giới	世界各地
Hoa đỗ quyên	杜鹃
Jiangyin	江阴
Tháng sáu	筠
ngồi	坐
Giai đoạn = Stage	期時
Liên kết	環節
Morgoth	魔苟斯
Descartes	笛卡尔
Đi học	升學
Mát mẻ	檟
nhón	捏
Lớp bốn	初四
Quận Tây	西县
Chi	螵
quạt	迷
Sau dòng	線後
Người hâm mộ	影迷
tối và yên tĩnh	杳
Nghiêm nghị	懙
Yay	耶
Chongzhen	崇祯
Đầu lâu	頭顱
bệnh tim	心臟病
hiểu biết	认识
bông	棉花
Wanli	万历
Yêu cầu hướng dẫn	请示
Yoshitsune	義經
Chỉ với	點與
thiếu niên	青年
sự trả thù	复仇
Cứu trợ thiên tai	救災
Ye	俅
Đối với Trung Quốc	為中國
Sức ép	压
Stie	史蒂
Văn phòng	事館
Đặc sắc	精選
không đủ	不夠
Phong cảnh	风光
Giải quyết trường hợp	破案
khả năng lãnh đạo	領導
Miyazaki	宮崎
đội trưởng	機長
Croak	啱
Trạm kiểm soát	关卡
quốc huy	国徽
Vẽ tranh	战平
Nader	纳德
cái đầu	头
Nhận vào	录取
Chiến tranh	戰火
đời sống	壽命
Nanto	南約
hoa sen	莲
Từ chối	拒絕
Minnan	閩南
Nghe rõ	罗杰
kẻ giết người	兇手
Cục văn hóa	文化局
trong	在
Với	與過
sự giải trí	招待
Crest	崵
bởi	通过
trái xoài	芒
Cao Hùng	高雄
đau đớn	痛
hình ảnh	图片
Không có tội	無罪
Ruy-băng	帶狀
Hạ viện	下院
Tiền Tần	前秦
câu lạc bộ	俱乐
Hakka	客家人
Được	中獲
không hài lòng	不滿
Inca	印加
di cư	洄游
Không ngừng	不息
mù	瞍
Mềm mại	詅
Đảng tự do	自由黨
Cung hoàng đạo	生肖
Wu Zetian	武则天
đơn giản	簡易
Bohr	玻尔
hình trái xoan	椭圆
săn bắn	獵
lâm sàng	臨床
Chốc lát	矩
đập	坝
Nhầm lẫn	吿
Remy	雷米
Ya	伣
Quan niệm	構想
người vẽ tranh biếm họa	漫画家
Đảng Lao động	工黨
Nhiều hơn mười	十餘
Chuo	斳
Tất cả các cấp	各级
con vịt	鴨
Album ngôn ngữ	語專輯
Moselle	摩泽尔省
EUR	歐元
sự sụp đổ	坍
Cerf	瑟夫
Bản quyền	著作權
Từ chối	拒绝
Năng lực cạnh tranh	競爭力
Dài	茣
Phi công	飞行员
Và hai	和兩
kế hoạch	策劃
ông nội	爺爺
Xiu	憺
