Lụa	絹
Mobil	美孚
Mờ nhạt	洨
Zhu	翥
ngôi đền	廟宇
Quân đội	軍力
kiệt tác	杰作
Croatia	克羅埃西亞
Cách mạng	革命性
dinh dưỡng	營養
Roe	獂
Ghi lại	戰績
kỷ nguyên	纪元
đặc vụ	代理人
vệ tinh	衛星
Mômen từ	磁矩
Đền thờ	该寺
dâm đãng	嫪
toàn bộ	总
Thành phố Hạ Môn	厦门市
cấp	年级
chính quyền thị trấn	镇政府
địa điểm	之地
Duo	铎
Bắc Dương	北洋
tuyên bố	聲明
tiên phong	先驅
Rắn	蛇類
Kẻ ngốc	谞
Greentown	绿城
phóng to	放大
công cộng	大众
Tiếng nói	嗓音
Công quốc	公国
áo cà sa	衲
bộ lọc	濾
Đổ	斖
Để tham khảo	以指
bị mắc kẹt tại	卡在
lao động	勞動
Cleveland	克里夫蘭
khóc	泫
ngưng	輟
khu vực lân cận	街坊
thành phố Đài Bắc	臺北市
Walter	瓦尔特
hung dữ	抨
hàng đầu	顶部
cải tiến	提高
vận dụng	操纵
Sau khi tốt nghiệp	畢業後
tự động hóa	自動化
Mỗi người	每人
cảm hứng	靈感
Tìm ra	查明
Ye	阒
Sỏi	砂石
Sờ nắn	捫
Từ	源于
Ủy ban bầu cử	選舉委員會
hạt	县
Tây An	埓
Yi	侎
dốc đứng	漚
phi tiêu	鑣
Giải thưởng	頒
Giáo dục	学历
Tuổi	歲時
than hồng	烬
Trường đại học bình thường	师大
Xâm phạm	違
Âm thanh	音频
Theo	跟着
Braham	伯拉罕
Yan	燕
Giới thiệu	引进
Ti thể	线粒体
Samoa	萨摩亚
ấn Độ Dương	印度洋
Bàn là	鉄
sắc đẹp, vẻ đẹp	美人
Yushan	玉山
Bang Anh	英國國
đẩy	推力
Yangshi	陽市
mùa đông	冬季
thảm họa	災
Quận trưởng	區總
Gấu mèo. - Gấu mèo	狸
Mức độ thấp hơn	下层
Ao	鳌
Vật nuôi	寵
Anh trai	胞弟
được làm bằng	制得
Trang trại rừng	林场
Phát hành	獲釋
Yan	琒
tròn	圓
Đường mòn	步道
lung lay	盪
Môi trường sống	棲性
nội bộ	內部
bàn thờ	坛
Tiết tấu	撍
sự phát triển của	发展
Của bạn	您
Aqui	阿奎
Dongfeng	东风
Quần đảo Điếu Ngư	钓鱼岛
Đội bàn	表隊
An County	安县
suốt đời	终生
kết hôn	婚
An County	安縣
ngành công nghiệp	行業
Ảnh bìa	旗幟
Keyun	克運
lời nhắc	提示
Yu Xian	於現
Nhãn	标注
Báo đốm	美洲豹
toàn thời gian	全職
Chu	辚
Thuộc về	所属
Rob	羅伯
Quốc tế	國際性
Tong	丠
Zhu	竺
Xâm lược	侵
Thánh George	圣乔治
Rado	拉多
Đi dạo phố	上街
cây búa	鎚
Ong vò vẽ	蜉
Móng chân	蔕
Jingkai	經開
cao nhất	癿
làm	办
nguyên nhân	原因
Âm	輜
Hoạt động	运营
Jingshi	京师
Lúa mạch	訞
stronti	锶
Erland	爾蘭
quá trình	遊行
Tên	名曰
Nghệ sĩ vĩ cầm	琴家
nở hoa	开花
hẹp	狹
ngôi đền	殿
Họ cá	鱼科
Dịch chuyển	排水量
Giám đốc	理器
tất cả	全都
Nước carbon	碳水
A	一棟
làm hại	危害
Franche Comte	弗朗什孔泰
Pháp luật và	法與
Người tiên phong	首创
Đến	來達
Khu mục vụ	牧区
mong manh	辮
Than van	卌
Hằng ngày	每天
Vũ khí hạt nhân	核武
ấm áp	热烈
Điện	該電
Phó trưởng phòng	次長
thưởng thức	欣赏
Alkyne	炔
Phấn đấu	力求
âm lượng	捲
đất ngập nước	沼泽地
Zhu	洿
Nội tuyến bốn	直列四
điền trang	地产
Yu Bai	於白
Châu Á	亞州
Độ sâu của nước	水深
Rơi vãi	掉
Phía đông	东侧
sự chỉ rõ	规格
Mặc	穿戴
dẫn đến	导致
Về mặt	而言
Chú ý đến	讲究
Danh sách	名单
Sau đó	再將
thị trưởng	市长
Cục công nghiệp	工部局
Súng lục tự động	自動手槍
Phân biệt	分辨
Sau đó	那麼
Zhengri	正日
Người giữ	持有者
tư thế	姿勢
Tội lỗi	匤
tóm lại	总结
Indonesia	印度尼西亚
Nước sâu	深水
Nhậm chức	赴任
trở về	回歸
Cặp đôi	侪
lòng trung thành	忠心
Shan Xiang	山鄉
các bạn	你們
Suga	須賀
Tiêu chuẩn	本位
kết án	句子
mồi câu	餌
Trung Á	中亚
Tỉnh hà nam	汳
chính xác	改正
Mang	扛
Dịch vụ	務
tranh chấp	争议
Đô đốc	提督
Giao tiếp	通信
tuân thủ	遵守
Ba vương quốc	三國
Wikipedia	维基百科
Mất đi	迷失
Hộ chiếu	威士
trang web	網頁
Jin	縉
Tường bên ngoài	外牆
tài liệu tham khảo	參考
mạ	镀
Một chàng trai tốt	好人
Chương	篇章
Xuân	萱
toàn diện	全面
hầu hết	几乎
Các mặt hàng	貨
con ngựa	馬
thư giãn	懈
crom	铬
Kinh hãi	戙
tổng thể	整數
Gọi là	叫做
Ngoài	開出
thích hợp	适当
Vui mừng	樂及
Dài	垷
chứng chỉ	證
cáp	缆
thời gian	时刻
Ủy ban cách mạng	革委会
Cái	塊
bờ biển	濱
quạt	风扇
Chi nhánh	分局
Dài	垡
Maharash	马哈拉施
người thân	親屬
phòng ngủ	卧室
Ôn tập	審查
Anderson	安德森
Orleans	奥尔良
nấu nướng	烹飪
doanh nhân	商人
Tun	澚
Cho quân đội	為軍
Mang đến	帶到
kinh tế quốc dân	国民经济
Yan	暊
Chengdi	成帝
thành phần	成分
Thiểm	陕
Shi	軾
Qi Qi	齐齐
đã có thể	能够
liền kề	邻
trực tiếp	活
Xô	揅
Thuộc về	所屬
Đảm nhận	承建
Burleigh	伯利
Sư đoàn bộ binh	步兵師
La mắng	瞷
Triều Dương	朝阳
cũng	連
Trình độ cao	高階
Đối với tổng số	為總
gù lưng	踽
Buồn phiền	燊
Nói	来说
khối lập phương	立方體
Nước thải	污
Lo lắng	悮
hóa đơn	罰款
Công tố viên	檢方
đêm	個小時
Carbine	卡賓槍
Mặt đối diện, sự đối nghịch	其反
nấm	菰
kịch bản	剧本
ngã	墜
Gifu	岐阜
nguồn	源頭
Nhìn thấy ánh sáng	見光
Liaodong	遼東
Tôn kính	褰
phi	扔
nhiệm vụ tại ngũ	现役
sự nhiễm trùng	傳染
Tuổi mới	新世
báo chí	報紙
tỷ lệ phần trăm	百分
Đi bộ	行於
lời thỉnh cầu	請願
Cảnh	场景
Cứu giúp	帮
Nặng	厚重
trực tiếp	居住
Đen	黁
cung điện	宮
Thương tiếc	殤
Tom	湯姆
Gian hàng	布斯
dừng lại	停止
Đêm đó	當晚
Tin tức	闻讯
ròng rọc nước	槔
Đã đăng nhập	署於
Maria	玛丽亚
Yu	禺
Zoro	祆
đày ải	流放
Họ Hoàng thảo	报春花科
Phong trào sinh viên	學生運動
hấp dẫn	姱
Công thức là	式為
Tingen	廷根
ý tưởng	想法
Rải rác	散
Nhà văn nữ	女作家
Ngọc trai	珍珠
Giới văn hóa	文化界
lấp đầy	礴
chân thành	悃
Alexandre	亚历山
chính xác	准确
sáng	光亮
Thực ra	实际上
buồng	櫃
con châu chấu	蜢
Msen	姆森
Lang	醘
Chọn	采
Quebec	魁北克省
Lên	了
Hội nghị	秘书处
Áp suất không khí	氣壓
cá nhân	個別
Thành phố hàng châu	杭州市
Mô-men xoắn	扭力
chỉ	出示
Âm	兾
Theo	隨
Hanshin	阪神
Wanchai	灣仔
quanh co	迤
lòng tin chắc, sự kết án, phán quyết	定罪
Mazhou	馬州
Ya	仒
bẩy	陷
Dadong	大东
Zhang	张
Hải cảng	港口
vườn	园林
Tải	载
Ủy ban Trung ương	中央委员会
Gián đoạn	间断
Điều dưỡng	護理
con bò cạp	谡
mở rộng	扩大
đường phố	街道
Cúp hạng	級盃
Li	楳
Loạt	連續劇
Khóa	锁
Dường như	看來
khuôn	模
mái nhà	屋顶
Weiss	威斯
Bậc thầy	主將
Nhẫn	對環
Yu	苃
Bru	布吕
người nổi tiếng	名人
Phân loại	分类学
lễ hội	节日
tần số	次数
tuyệt đối	并未
Trung tâm về phía trước	中鋒
Yêu cầu giúp đỡ	求救
Ami	阿美
đứa bé	娃
học hỏi	學會
Muối axit	酸鹽
Chiếm đóng quân đội	軍佔領
lụa	綢
Số là	号为
nhóm	小組
nếm thử	趣味
đã chọn	選
bonito	鲣
gián điệp	諜
Lớp học đầu tiên	一等
Cùng thành phố	同城
Piedmont	皮埃蒙特
Còi	娗
tự sát	自杀
bóng rổ	籃球
giống nho	葡萄
Bố	之父
Tiao	漖
tấn công	进攻
Seibu	西武
Hulun	呼伦
Gai	霡
Kỉ niệm	回憶
Khúm núm	匃
Jesus	耶稣
coban	秆
cốc	杯
Berlin	柏林
Rad	拉德
Xindu	新都
Thưa thớt	稀疏
trang điểm	化妆
thông minh	嫉
Công việc này	本作
M	犸
Tham gia	搞
Zman	兹曼
Bạc	銀色
hình thức	結成
Gặp gỡ	遇到
TV không dây	無綫電視
sơ yếu lý lịch	简历
Crete	克里特
đất đai	国土
đấu kiếm	劍術
Wan	菀
vỏ sò	贝壳
Âm	聃
Tảo	蓿
đi xe đạp	循环
thời kỳ băng giá	霜期
Tang	苶
Đường dẫn là	徑為
Lòng trung thành	忠義
Chào	嗨
Mizuki	水木
Cá chình	鳝
mệt mỏi	倦
cuốn tiểu thuyết	篇小说
dần dần	漸漸
Martin	马丁
Xà gồ	誩
Luang	鑾
Thứ ba	星期二
Ghế	蓆
Beech	榉
Yu	柀
Mời vào	進來
xấu	糟糕
Lễ hội nghệ thuật	艺术节
thực hiện	製成
thịt cừu	膱
tương ứng	分別
Mỗi năm một lần	一年一度
Đối với Đài Loan	為台灣
thưởng thức	享
Gặp gỡ	議將
Được đặt tên	名字命名
Thông lượng	吞吐
sự vội vàng	迮
sách	册子
Đen	黢
Chi nhánh	隶属
Vợ lẽ	嫾
đế chế	帝国
Văn hóa nhạc pop	流行文化
thích hợp	一贯
Đông Nam	東南
Giá cả	耗费
Một trong những	其中之一
Thu nhập = earnings	所得
Ác mộng	釭
Gọi	打电话
Quốc hội	国民大会
tạo nên	创建
Trong hai	在兩
^	虏
Nok	诺克
Xa lánh	扜
Đang xây dựng	在建
Tát	跏
Leicester	莱斯特
Xiao	烐
Núi	山脈
vàng	黃金
bức vẽ	绘画
dụng cụ đánh bóng	鑢
Sevi	塞维
Tường	廧
kiểm tra	査
trứng	卵
làm giấy	造纸
Vội	飜
Nghiện	嗜
Kochi	高知
Bảng màu	配色
viện bảo tàng	博物館
Đối với Xu	為許
Zhi	朿
mỗi	各个
đêm	宵
Noir	努瓦
lông mày	眉
luôn luôn	總是
Bị giết	喪生
mùi	闻
địa ốc	房地产
một phần năm	五分之一
trường hợp	案件
chuồng cho gia súc	牿
Nói	说
Kuomintang	国民党
Tiền Tần	先秦
Một vùng	個地區
sự chậm trễ	耽
Su	椙
cao nhất	与此
để mà	为了
tham dự	乘坐
Nguyên liệu thô	原材料
một xu	一分
cải cách chính trị	变法
tái thiết	重建
thể loại	类别
giới trẻ	年輕人
Palau	帛琉
Tiêu biểu	代表
Những thói quen không xác định	習性不明
Mạc phủ Muromachi	室町幕府
Quay lại	复出
món thịt hầm	燜
Áp đặt	施加
Tóc dài	長髮
râu	髯
Gọi	叫聲
năm mươi chín	五十九
Đối với cá cảnh	為觀賞魚
cá chép	鲤
Lịch sử	文史
Illinois	伊利诺
Ren	贔
luật quôc tê	国际法
Phần phía nam	南段
Detroit	底特律
Chỉ huy	統帥
cả hai mặt	雙方
hổ thẹn	怍
Seto	瀨戶
Hoãn lại	延後
Roland	羅蘭
xuyên lục địa	洲際
Cái đặc biệt	該專
Vị trí	区位
Ban Tuyên giáo Trung ương	中宣部
Yên tĩnh	腚
Trò chơi điện tử	电子游戏
nô lệ	奴隶
xe lửa	列車
Studio	制片厂
nghĩa trang	公墓
Cá	鲯
chuyển khoản	調任
Đi	觘
Kirstan	克斯坦
Qi	磾
kết hôn	結婚
Newport	新港
Yokohama	横滨
hiện nay	現今
khuynh hướng	趋势
Cuối cùng đã có	終獲
Yongli	永曆
ổn định	穩定
Thành phố	市營
Yala	亞拉
con vẹt	鹦
Chương trình đa dạng	綜藝
thân thiện	潗
tóc	頭髮
Đầm lầy	蝣
đặc biệt	尤
Cạnh là	邊為
Shao	騒
Goo	觫
Grub	蛴
với anh ấy	與他
nhiều	諸多
Yarrow	蓍
Khuyết điểm	投奔
mùa vụ	作物
Connet	康涅狄
	炙
Công cộng	公營
Đã phân đoạn	分段
Thiên Sơn	天山
bị bỏ rơi	弃
phần mười	仂
Kêu meo meo	刕
Xin	莭
Không bao giờ	永不
không bật	晌
Làm	朵
làm sao	怎麼
Dọc và ngang	縱橫
Mất nước	脱水
Đừng	不
Trang Chủ	故乡
Trong vòng	為內
Mecklenburg-Vorpommern	梅克伦堡前波美拉
Danh ca	天后
trong nhà	室内
Bị đánh bại	敗北
spa	溫泉
axit sunfuric	镪
thông thường	惯例
mẹ	妈
Texas	德克薩斯州
Đổ	濅
rung động	振動
Thành lập ủy ban	設委
Đảng và	黨與
Quận dương	陽縣
hướng dẫn	導軌
thay thế	代替
sư tử	簑
Bài đăng	崗
gò đất	坵
Truyện ngắn	短篇
Thế hệ mới	新生代
Qi	琦
Dường như	看似
Nhà ga xe lửa	鐵站
thâm thúy	黝
Độc hại	疟
Yu	鈺
máy lạnh	空调
Senegal	塞內加爾
pháp luật	立法
Con cá này	本魚
Chìa khóa	鍵
cao nhất	总量
hướng dẫn	引導
Diễn dịch	解讀
nói dối	說謊
Trong phần này	本節
Cách cũ	古道
ám sát	行刺
Miles	英哩
người nổi tiếng	名流
con nai sừng tấm	麋
Bảo vệ đất nước	护国
Tàn phá	仮
Chengdu	成都市
gõ cửa	敲
nhà vua	君王
Munde	芒德
ngoại ô	郛
Zhi	栳
pháo đài	炮台
Tình dục	性
Núi	山區
Bộ sưu tập	館藏
Rất thích	真如
buồn	悽
Fu	孚
Cầm đồ	卒
Tov	托夫
Chia sẻ	份额
Đi tắm	洗澡
Công đoàn chung	总工会
cà vạt	繒
Yan	颜
Updo	髻
chúng tôi	們
Cả năm	年滿
tương tự	一樣
tiền bạc	金钱
Khoa	教职工
Thebes	底比斯
Sau cuộc cách mạng	革命後
Từ	出于
Nhẹ nhàng	咯
Bắt đầu lúc	開始於
Hoa mận	梅花
Buller	布勒
Chuyển thẻ	卡轉
Máy Jin	機進
y học cổ truyền Trung Quốc	中藥
Làm	做出
Vật liệu xây dựng	建材
chiến tranh lạnh	冷战
Nhà sử học	史家
Gọi là	稱爲
mái chèo	枻
chung	大将
con ma	鬼魂
kem	冰淇淋
Anh cả	大哥
đưa cho	给
Tiết tấu	毆打
Thầy tu	牧师
Spo	斯波
Napoléon	拿破
Chuyển động	乐章
Nes	內斯
thứ mười hai	第十二
Baijia	百家
Dương dương	洋
sớm	初
chốt	闩
Michigan	密歇根
Dốc cỏ	草坡
Đây	涖
nông phu	農夫
Gặp	梅特
tuyết	雪
Mười tuần	十週
Máy bơm	抽
tim	心脏
từ	既然
Cuộc đua thời gian	時賽
Người da đen	黑人
Chung tay	联手
Treo	沆
Chim vàng anh	鸝
tình trạng	条件
Shao	魣
Nối	追加
Từ Hi	慈禧
vinh quang	榮耀
Crowfoot	莨
Tuo	佗
Harry Potter	哈利波特
Cây	廠房
Vị trí	选址
đừng	勿
Đài Loan triều đại	台灣清治時期
Phòng thờ Phật	佛殿
Miocen	中新世
Hình thái học	形目
Xie	荬
Được viết bởi	所著的
sau khi kết thúc	完成後
ngân sách	預算
Có xu hướng	趨於
Hercules	武仙座
Biểu tượngcon lươn	符號鰻
Hans	漢斯
Medaka	鳉
Ga tàu	站位
Giám đốc	管理器
Tên gọi chung	俗名
cung điện	行宫
Junior Weekly	週刊少年
thuốc súng	火藥
đúng	權利
Trung Quốc	華夏
Tuyết nhiều	大雪
Chất lượng và	質與
Quy tắc lớn	大規
Hàm Đan	邯
sưu tầm	搜集
thoát khỏi	革除
sao chép	拷贝
Yi	幪
Fulan	富兰
Mach lẻo	緋聞
Quốc gia	屬國
Cho như	舉為
A	个
Có thể giới thiệu	可指
Thiên đường	天国
lặn	跳水
Gù	跣
Con gái	媎
Âm	瞤
Dahan	大韓
bán sỉ	批发
Wong Chuk Hang	黃竹坑
quả bóng bay	氣球
HD	高清
mù	瞽
hydroxylamine	胲
Ba người con trai	三子
bôi	泯
Đã chọn	選定
Mía	卡內
Đền Nội	本能寺
Vinci	芬奇
Rong	榮
Guojun	国军
con đẻ	孥
bất chấp	不顧
Bước xuống	下台
Tiết tấu	殴
Swill	泔
hôn mê	昏迷
lời hứa	答应
Zhang	嶂
kiểm tra	考试
cáo	福克斯
Vội vàng	鷜
mùa hè	夏天
Không ít	不下
suốt đời	終身
Bảo mật	保定
nước mắt	撦
vâng lời	乖
Pháp nhân	法人
Đối với	為其
Màng tế bào	细胞膜
sỏi	礫
Taekwondo	跆拳道
Yan	偃
hạm đội	舰队
Hiện đại	近现代
Hu	庶
kế vị	继位
Kiềm	碱性
viết một bức thư	寫信
Lãnh sự	执政官
sự khôn ngoan	智慧
Niêm phong	印
mong manh	裊
Ji	吉
người Trung Quốc	国人
Hội trường tưởng niệm	紀念堂
Nan'an	南安
Tiền công	公款
Thành viên nhập	員進
Một tờ	一張
Cụ thể	即為
Di chuyển bữa tiệc	動黨
Làm lại	重制
64	六十四
europium	铕
hoa mỹ	旺盛
Con thú răng	齒獸
Lùi lại	搬回
rút lui	撤退
bán sỉ	批發
Chang Chen	長陳
Nói	講話
Số ba	叄
Xiang	駪
Bắt đầu ném bóng	先發投手
giám đốc công khai	宣传部长
Bouyei	布依族
Quay	斯宾
bụi bặm	塵埃
Seri	塞里
đĩa bay	飛碟
chòm sao Kim Ngưu	金牛座
vận dụng	操縱
Tuscany	托斯卡纳
dạy	诲
Kiến trúc sư	築師
ngu độn	稠密
Sinki	辛基
xóa bỏ	刪除
nhiệt độ	溫
kính hiển vi	顯微鏡
Vội vàng	湶
Tan	櫨
phòng quận	縣廳
Giới thiệu	引進
Biao	飚
Âm mưu	地块
Cary	卡里
lòng can đảm	勇气
một hớp	抿
Lưới là	格為
Sự khác biệt	差异
Vận chuyển Trung Quốc	中海
Pu	莆
Công khai	宣传
Nenjiang	嫩江
chủ nghĩa cộng sản	共產主義
Li Hongzhang	李鸿章
tháng Giêng	一月
Batting	击球
học hỏi	學
Routh	勞斯
thảm họa	祸
Đúng	則對
im lặng	噤
thần thoại	神話
lừa	特技
Shire	夏尔
Phôi	坯
Xuân	琑
Ji	翕
Taibao	太保
Ngay đâu năm	元旦
Ủy viên	专员
Xa lộ	公路
Dốc	峭
độ dày	厚度
Weiss	衛斯
Chính xác	对
Ngôn ngữ là	語為
Gạo nếp	馉
Sau khi cải cách	維新後
Chip	芯片
Byzantine	拜占
Sâu	蚡
Xấu hổ	糗
Diễn viên	鑄
Chấp hành	处决
đường sắt	鐵道
Li	橺
Linh miêu	猁
chủ nghĩa xã hội	社會主義
năm	年度
Thêm vào	後加
doanh nhân	企业家
Công thức phân tử	分子式
Rắc rối	困扰
Sông nhỏ	小河
Salva	萨尔瓦
Một lần nữa tại	又於
Các thành phần	零件
Tất cả	全體
Hinder	妨碍
Xuất tinh	射精
Jinchaji	晋察冀
đồn trú	守备
Âm	玒
Được	得來
Đóng quân	派駐
Baba	芭芭
hướng dẫn	导向
Tsuen Wan	荃灣
trợ cấp	津贴
Vợ lẽ	妁
Hu	灦
sự nghỉ hưu	退休
Người bảo vệ	護木
Boston	波士顿
Sự định hướng	定向
Thiết bị điện	電器
Nhất	至多
Đăng ký	登记
nút	节点
Huyền Tông	宣宗
Friedrich	弗里德里
Bian	卞
Zhouyi	周易
Viện thiết kế	设计院
thời trang	时尚
Từ chức	辞去
van	瓣
Trung du	美聯
lỗ mũi	鼻孔
Liên doanh	聯營
thảm họa	灾害
Nền tảng	月台
nhân viên	人員
Kích hoạt	起用
Nan	楠
Els	尔斯
Thắng lợi	夺冠
các môn thể thao	競技
Lectra	力克
từ	從中
Vắt kiệt	櫔
Petersburg	圣彼得堡
phẫn nộ	愠
lưu Bị	劉備
Daejeon	大田
Leba	黎巴
Khai báo	宣告
Làm cho lớn	作大
không nhận ra	壈
Vòng xoay	自轉
hân hoan	麾
Điều này	這場
thị trấn	城鎮
Buồn phiền	懮
PR	公關
Hum	嚶
xấu xí	窳
Maki	槙
Hay bông lơn	锲
nền văn minh	文明
Tội phạm chiến tranh	战犯
dền	苖
Chất lượng hình ảnh	畫質
lồng	栊
Dele	德勒
bỏ tù	徒刑
đề cập	提
Dệt may	纺织
Shao	姹
sự an toàn	安全性
Nakamune	中宗
Phòng Tuyên truyền	宣部
Di	氐
bươm bướm	蛱
Trương học nư sinh	女校
Túp lều	廬
Âm	螔
khắc đá quý	琱
đất đai	陸
nhanh chóng	急速
Bale	巴勒
Càn Long	乾隆
tải	负荷
Sự công bình	公義
Và sẽ	會和
Mi	芈
tiếng Đức	德语
Hình ảnh	畫面
Anh và chị	兄妹
Ke	岕
Ổ cứng	硬碟
Hưng thịnh	繁盛
Yana	亞納
Jianghuai	江淮
sẽ là	將在
Chế giễu	旤
Theo nhóm	成群
đấu trường	竞技场
Trạch đông	泽东
Yongchang	永昌
Đồng minh	协约国
Cuốn sách này	此書
Diao	刁
cái cổ	脖
Eck	埃克
Himalaya	喜马拉雅
Được bao quanh	包圍
Chấp nhận	接受
Tấn	噸
con bò cạp	貹
Giám đốc bộ phận	科长
diễn xuất	演戲
hydro hóa	氢化
Nổ	迸
Hình thành	成形
đá quý thấp kém	碔
Hơi cay làm chảy nước mắt	催淚彈
Aran	阿朗
Xanh hóa	绿化
Triều đại Jin	金朝
Tolo	托洛
bên	側
bảo vệ	把守
Chôn	掩埋
độc nhất	獨一無二
Thực nghiệm	实验性
Đại dương băng	冰洋
Hiện có	现存
Hoa hồng	玫
Dội lại	回升
bánh xe	輪
đêm khuya	深夜
mười lăm	十五
Geer	格尔
che	覆盖
Loạt	系列賽
lỗi	错误
Jie	頡
Xi	溍
Kang	亢
Trực tiếp	過著
buồng	櫥
điều khiển	控
Hiệu quả chiến đấu	战斗力
Thông báo	宣布
Đĩa	板塊
yết hầu	咽
Zuo Zhuan	左传
kinh khủng	慘
Tốc độ gió	风速
tròn	回合
Chính thức	吏
gặp	見面
tích cực	正
Đảm nhận	承办
khen ngợi	赞美
Vòng tròn	局局
văn chương	文學
Kiêu ngạo	恾
kết hôn	姻
Rong	镏
Cửa hàng	存放
mọi nơi	到处
đường Nathan	彌敦道
Lywood	萊塢
bùng nổ	砰
tranh luận	爭論
Quart	璮
Helsinki	赫尔辛基
sàn nhà	楼层
Thủ đô	首府
kinh tế chính trị	政治经济学
Đài	收音
Phong trào sinh viên	學運
Nhân viên và	員及
Răng	齒目
phương trình	方程
ăng ten	天线
Chải	櫛
Báo cáo	报导
Thời gian vị trí	位時
Cung cấp	設在
Đi bộ	踯
Sông Ga	加河
Hồ Bắc	鄂
Raptor	盜龍
mở ra	開拓
Đồng nghiệp	同僚
Nhà thờ	圣堂
con sông	河流
liền kề	毘
Hút máu	吸血
Đến	到達
Thư viện	書館
khô	涸
Ulan	乌兰
tiêu đề	锦标
bật	打開
gậy	罗德
Nếm thử	口味
Hạ cấp	降級
di chuyển	搬
gì	何
vải lanh mịn	缌
Jinchuan	金川
Xe buýt nhỏ	小巴
bơm vào	碰到
lười biếng	怠
thương	繾
Nam TP.	南城
Thiên thể	天体
màu sắc	颜色
Bà	姥
Chia sẻ	佃
Top thứ ba	三甲
Độc thân	個單
Bình minh	晨曦
Tại đây	在這
Li	俪
rùa	龟
Petersburg	彼得堡
Nam Bình	南平
Zhu Di	朱棣
Kui	馗
Ether	乙醚
thiểu số	少数民族
Sự phẫn nộ	憤
cắt cỏ	刈
chim cun cút	鵪
Hum	唥
Người sản xuất	製作人
Phát sáng	發光
được đặt tên	命名为
Đông Chiết Giang	浙东
STD	性病
Độc hại	惡意
Jing	靖
ước tính	估计
Mở	曠
mồm	嘴巴
Đảng dân chủ	民党
dây súng	戟
Ronin	浪人
sự hy sinh	犧
người bắt	捕手
bài hát nhịp	呗
Ga phía nam	南站
Tỷ	亿
Bán đảo Mặt trời	鮮半島
