Thành phố	市町村
Lei	的黎
Khi nào	時是
xuất sắc	矔
Đấu tranh giai cấp	阶级斗争
Quy định	條例
Yun	鋶
Quốc gia	各國
Kitakyushu	北九州
Những người khác	别人
Kẻ xâm nhập	入侵者
Mali	馬里
Pennsylvania	宾夕法尼亚州
kết thúc	末尾
Vương miện vua	冠王
Huaxi	华西
May thay	倖
Nâng cao	筹
Khởi đầu	起始
hành động	行徑
đường huyết	血糖
Bồ nông	鹈
Làng	该村
Cục	侷
Ru	汝
tốc độ	速
theo dõi	追踪
Sự cố	伊斯
Giá trị	器重
Công ty trách nhiệm hữu hạn	有限公司
dậy thì	青春期
thú y	獸醫
Hành động	行事
phẫu thuật	外科
Vịnh Nam	南灣
Giám đốc	司长
Khoa học	理学
Debon	德邦
may	緄
Bo	簙
Zhe	躧
phúc lợi	福利
chỉ huy	指揮官
giới hạn	限度
Ci	蛓
Phá dỡ	拆迁
Thánh	的聖
Bún	礶
cú hat trick	帽子戲法
thêm vào	加成
Senna	塞纳
pít tông	活塞
ngân hàng phía đông	东岸
Si	泗
Đó	那里
Phố cổ	古镇
Mở	旷
rượu lu	醁
Kẻ thách thức	挑戰者
Jiuzhi	久之
đủ	够
môn Địa lý	地理
Tiểu hành tinh	小行星
tuyên bố	陈述
Bỏ trống	空置
Áo choàng	袈
rút lui	撤走
halogen	卤
Spitfire	喷火
nhiều hơn hoặc ít hơn	或多或少
Lên	高達
lưu trữ	存儲
Nga	俄羅
Knots	節度
Thần Châu	神州
Có thể gọi là	堪稱
Trở thành	变为
theo	跟從
Cọ rửa	淘
Đóng quân	駐紮
Hạt Miaoli	苗栗縣
vụ đánh bom	爆炸案
thành viên	构件
Trung tâm quốc gia	國立中央
chắc chắn	坚定
Sway	撟
Nhiệm vụ đặc biệt	特命
Chó rừng	豺
Đúng	對當
chiều rộng	寬
Ren	仛
Ella	埃拉
Kho lưu trữ	档案馆
Wai	喎
Cái đầu	團長
Daan	大安
đưa vào một	放入
Jiao	滘
tình hình	情
căng thẳng	張力
Riêng biệt	相距
chứng cớ	證據
Theo dõi	轨迹
vồ lấy	搶
Viết	行文
Sâu răng	龋
lựa chọn	擇
Wu	邬
ma thuật	魔術
tương thích	兼容
con hổ	虎
Mọi người	民
A.D.	公元
rượu	酒精
người cầu nguyện	禱
Án Lệnh	政令
công viên	停放
giao hưởng	交響曲
con quạ	乌鸦
giai cấp vô sản	无产阶级
Ta	澾
Harry	哈利
Hinterland	腹地
Nhiệt động lực học	热力学
gió lốc	猋
mangan	锰
Xây dựng vốn	建都
Yue	玥
tấm màn	帘
Chuẩn bị	預科
nói chung	大體
Gan tiếng Trung	贛語
Bayeux	巴约
ngôi sao	恆星
Cử đi	出動
đồn trú	守備
sửa	修復
hình chiếu	投射
Đi ra ngoài	出外
boong tàu	甲板
tấn công	攻
Và nhận ra	並認
vượt quá	躐
Chuyển tới	移到
đổ vỏ	棚
cẩn thận	仔細
Bo	渤
Thô	麤
bàn luận	讨论
ở lại	騃
hái	挑
mờ dần	淡出
Tài khoản	賬
Mở	開來
viết	編寫
Đổi lấy	擔當
Thành Cát Tư Hãn	成吉思汗
dao động	振荡
tà ác	惡
Hình dạng bên	边形
Giang Châu	江州
hang	洞穴
Tốt nghiệp	結業
bổ đề	引理
Lào	嶗
Cứu giúp	佑
Đảng dân chủ	民黨
Tỉnh Du	杜省
tỷ lệ phiếu bầu	投票率
Angular	角形
Zhang	餦
Bắt đầu	開賽
Qi	鐪
định lượng	的數量
Tranh luận	论证
cesium	铯
Theo sắc lệnh	下诏
Bom nguyên tử	原子弹
Chia	整除
người lái xe	司机
thịt	肉體
văn Phong	票房
thích nghi	容納
Auckland	奧克蘭
Bị đánh bại	戰敗
nén	壓縮
Ling	玲
kiêu ngạo	訑
Mét	仪表
Quả cầu	球體
Dây sắt	鐵線
Đi	出站
Thường xanh	長榮
Luật mới	新法
sự ô nhiễm	污染
nhà cung cấp	供应商
đồ gốm	陶
Zheng Yuee	鄭月娥
Diễn viên	伶
Họ hàng bên trong	內親
Tăng cường	加剧
Sách	本书
Tu	屠
Hải quân	海军
Hoàn thành công việc	全集
Chỉnh sửa	整顿
luận tội	弹劾
Yu	彧
Vòng xoáy	鲪
Bảng nhỏ	小板
số sê-ri	编号
chất béo trong ruột	膋
lựa chọn	择
bằng cấp	文凭
Jersey	澤西
nhìn yêu cầu	睨
Tỉnh	地级
Họ đào	桃科
Thành phần	配料
Quân nổi dậy	起义军
con ếch	蛙
Bạn bè	巴迪
Ste	施特
cái nhíp	鑷
vu khống	謷
giai đoạn = Stage	时期
nhiệt	暑
Yan	兖
một lần nữa	再度
đo lường	測量
xác nhận	确认
Ngôi sao chính	主星
Xie	禼
cổ xưa	古
Phòng thương mại	商会
Tiết kiệm	储蓄
Bài hát phương nam	南宋
thăng trầm	热潮
hộp cung	韣
Du lịch	巡演
người Trung Quốc	華人
Di	棌
túi	囊
Tốc độ	時速
chủ ngân hàng	银行家
Fen	摉
học giả	学者
Sản xuất tại	作在
Lên ngôi	登基
Lòng tin	信托
Khai mạc	开馆
Bị đánh bại bởi	敗於
Bailey	贝利
Xuanhua	宣化
Bán hàng	銷量
Sẽ xuất hiện	會出現
màn	銀幕
rut	轍
Taikang	太康
Pell	佩爾
Tầm quan trọng	量级
đồng hành	伴星
kháng cáo	上訴
Phủ Điền	莆田
Gloucester	告士打
Netizen	网友
Trú ngụ	栖息于
Chile	智利
Weng	翁
Cử nhân	大学士
nạn đói	飢餓
Đã không	並未
Xuan Wang	宣王
xa hoa	奢
Vượt qua	軼
máy móc	机器
Cai trị	裁定
sân bóng đá	足球場
Wanhua	萬華
dài hạn	常任
Xấu	糟
Được làm bởi	所製
Sự khỏe khoắn	健身
Bật mí	揭幕
đa dạng hóa	多样化
Ariège	阿列日省
Chen	陳
Tương lai	未來
Thở khò khè	哮
Dani	達尼
Gây hiểu lầm	誤導
Tình cờ gặp	蹕
đánh	揕
Xưng	坦承
Luân	滦
sách giáo khoa	教科书
Họ và tên	全稱
ngọn lửa	煚
Sophie	索菲
Gangwon	江原
Dian	丶
Gì	麽
Có khả năng	才能
Ning Yuan	宁远
Với	是與
Nhìn qua	眺望
Bệnh	氏症
chất lượng	质量
rụng răng sữa	齠
Cá chép răng gang	綱鯉齒
Chung	總領
Ưu tú	精銳
tích lũy	积累
Sân chơi	遊樂場
linh hồn	醑
Bỏ tù	監禁
Cộng hòa Dominica	多明尼加
Khó xử	拃
Mặt cầu	桥面
Hướng dẫn viên du lịch	导员
Đưa cho	賦予
Swa	斯沃
chuyến thăm	拜訪
Xem xét	谂
Bướng bỉnh	熘
Những năm gần đây	近年来
Tấm bia	石碑
Woo	呜
Có thể kết hợp với	可與
Sẽ chuyển	會轉
Kết thúc	逾
Hơn	多可
Nhà Hán	漢代
Đóng	辺
Maddie	麦迪
Lê và	樂與
Nhậm chức	出任
hiện có	现有
Bao gồm	纳入
Bảo vệ	安保
Occlude	闭塞
Nguyên	本物
Ga xe lửa Tây Bắc Kinh	北京西站
Phần phía bắc	北段
xinh đẹp	秀丽
Háng	砯
Xi	郖
đường phố	大街
Oss	俄斯
dọn dẹp	清洁
Và tạo	並創
Sonata	奏曲
Thủ tướng	宰相
bánh xe	车轮
Dài	兞
Vội vàng	涏
màu sắc	綵
Sôi lên	癘
Dajiaxi	大甲溪
cốt lõi	核心
cuối cùng	终于
Lưu huỳnh	磺
Nghề nghiệp	职业
Diễn viên điện ảnh	電影演員
Jiaodong	胶东
nền tảng	地基
Wang	仼
khung	框架
Hittite	赫梯
Ngoài cốc	盃外
Lương Sơn	梁山
hafnium	铪
Phụ lục	吞併
Hành dương	衡阳
Thần sấm	托尔
George	乔治
Học cao hơn	進修
Phát sinh	导数
Inch	寸
Abu	阿布
một chút	一點
rác	垃
bắt giữ	拘捕
về cơ bản	基础上
Ba nghìn	三千
Khu vực thực địa	田區
Hoàng đế	皇上
khoe khoang	炫耀
Tianjia	田家
đấu tay đôi	決鬥
xây dựng	建
Thành phố đặc biệt	特市
Lồn	儱
nhà hàng	饭店
Lập trường	表態
Ke	珂
Chiên	弗萊
đứa trẻ	孩子
câu lạc bộ đêm	夜總會
điêu khắc	雕塑
Calvados	卡尔瓦多斯省
Chìa khóa	钥匙
Nhân Viên	员工
bầu cử dân chủ	民選
Có thể làm việc với	能與
Được	而獲
từ	自
chú ý	關注
Đại học Thanh Hoa	清华
Giờ sinh	生時
Đề cập nhỏ	小提
Chết	圆寂
Cảnh báo	預警
Xa lánh	阓
Jia	賈
Zao	簉
sự hiểu biết	掫
tinh ranh	陧
cải cách	維新
Dỡ hàng	卸
Qian	汘
mơ hồ	矓
Rượu Hennessy	軒尼詩
Tong	佀
Thuế	税务
Hoàn thiện	定案
cùng tồn tại	并存
Yan	拠
Lữ đoàn	大隊
Nhà nguyên	元代
Seleu	塞琉
khu vực đô thị	都市圈
phương tiện	車輛
Năm	年來
Caledo mới	新喀里多
Con người với	人與
Ouyang	欧阳
neodymium	钕
Rocky	岩礁
Người Hồng Kông	香港人
Quá trình lây truyền	傳學
Philip	腓力
nhân vật chính	主角
Yi	贒
uy tín	聲譽
chiều dài	长度
thuyền	小船
hợp xướng	合唱团
Tát	跍
Taishi	台市
Ra mắt	出道
Uỷ ban	委托
Cây phong	槭
Mishi	御史
gây tê	麻醉
triển khai thực hiện	贯彻
Dàn nhạc	管弦
phụ lưu	支流
Loren	洛伦
Tang	潽
hành vi	行為
đất ngập nước	湿地
Nói dối	跰
Trách nhiệm cấp tỉnh	省負責
Chính phủ nhà Thanh	清政府
phía đông	東方
Sức ép	壓
Xung đột dân sự	內亂
brôm	溴
Suối	溪水
Hạ Môn	廈門
Hoàng đế Guangxu	光绪帝
phẫn nộ	慍
Qing Bing	清兵
Nguyên nhân thời gian	時因
lăn ra	推出
bảo tồn	餞
Người lính ưu tú	精兵
Ngăn cản	失速
món ăn	碟
đường ống	管道
Pan	潘
Mogo	魔苟
Kiên trì	毅
Augu	奧古
Có thể	戛
Bikini	比基尼
Qichao	启超
Tôi	亇
Thay đổi	嫦娥
Khách mời	客座
lừa dối	诓
Shuji	書紀
la kêt quả của	後果
Chủ đề	為主題
Thế giới	世界上
viết tắt	縮寫
màu sắc	彩色
thẳng	直
gái điếm	婊
Gốc	原属
vết loét	瘍
chương	章
Phi cơ	飛行器
một là	一個是
Dâng trào	湧
từ	離
Caen	卡昂
Ba	仈
ve sầu	蟬
Vienna	维也纳
nghiên cứu	研
Hợp nhất	巩固
Ra trận	出戰
hợp kim	合金
Angstrom	埃
móng tay	釘
khoe khoang	夸
hắt hơi	嚏
Hoàng đế	帝君
Gongsun	公孫
Bà ấy	歙
Giống hệt nhau	形同
Họ ngôn ngữBình luận viên	语系論者
buồn	悲伤
Di tích lịch sử	史迹
Khử trùng bằng clo	氯化
kỉ lục thế giới	世界纪录
Năm lúc	年於
Hợp chất	大院
khiếp sợ	虩
khai thác mỏ	矿业
Dư luận	舆
Thành phố Đào Viên	桃園市
Mạch	电路
vùng cốt lõi	核心区
Khổng lồ	巨型
Tổng số thức ăn	全食
Lai	臘語
cá đuối	鲼
ở giữa	正中
Xie	邔
nhiếp chính	摄政
europium	銪
làm ngập	泅
kinh nghiệm	经历
Yan	摈
Xiao	箫
Jie	労
Yếu	弱
Lễ hội	祭典
Bữa tiệc lớn	大黨
Cyprinidae	鲤科
Xuân	璇
Cảnh sát trưởng	郡主
Đồ thủ công	工艺品
ngày	日子
thuật ngữ	术语
Giá trị gia tăng	增值
được	给定
Anh ấy đến từ	他從
Lille	里爾
Bouy	布依
Odo	奥多
Con rùa	賫
Min	闽
tin đồn	谣言
không thể giải mã	漶
Tuấn	抟
cửa hàng bách hóa	百貨
Mô-men xoắn	力矩
Văn bản	字眼
Khai thác mỏ	開採
Thành phố quảng châu	广州市
Tao là	道為
Băng nhóm	硏
đổi	互換
yttrium	釔
Chúa tể	藩主
Yong	瀜
Kéo	揪
Tốc độ ánh sáng	光速
giá trị sản phẩm đầu ra	产值
Bồ nông	鵜
Lo lắng	忄
Tin tức neo	新聞主播
Đến để giúp đỡ	來幫
con lừa	驢
Kimoto	旗本
Sống ở	生存於
sự trùng hợp	聚合
Galvanic	流电
Sai lầm	不對
Lạm dụng	濫
Qi	羮
thanh John	聖約翰
Ghim	蟯
đường hô hấp	呼吸道
Phỏng vấn	專訪
bóng rổ	篮球
Tấn	洵
đói bụng	饿
chủ quan	主觀
Onishi	大西
Quang phổ	頻譜
Chẩn đoán	诊
mát mẻ	涼
Chen Chao	陳朝
xem	看見
Tuần tra	巡防
Các vấn đề pháp lý	法務
không khí	大氣
Tạp chất	杂质
chơi trò hề	揶
Nhà ga nhỏ	小站
Đảo giữa	中途島
ve sầu	蜩
Sushi	苏轼
Yongjia	永嘉
Kaoru	薫
Lý do	為由
Farah	法拉
Daxing	大興
Meier	美爾
Sau đó thì không	則沒
miễn phí	免費
Ở phía Đông	於東
Spielberg	斯皮尔伯格
trong	中
cây con	苗
tương tác	互动
Inkstone	砚
Trong lòng đất	地中
nữ hoàng	國後
Và từ	而從
Quận	爾縣
Li	靱
Chính phủ liên minh	联合政府
cung điện Quốc gia	國立故宮
Tong	骢
Zizhen	子镇
Cái đó không phải là	那不
Ming	铭
Quận Tuen Mun	屯門區
Vì thế	瑟
cá đuối	鰩
Thương số	商
Vấn đề	发放
tràn ra	溢
vỏ trái đất	地殼
bùng binh	迂迴
Pingpu	平埔
Yan	滟
quý ngài	長官
Mei	嵋
Minnesu	明尼苏
Shao	鱮
Ping	蓎
Sơn đông	山東
Triều đình	朝廷
kéo dài	肸
nguyên nhân	事業
kinh doanh	商業
axit cacboxylic	羧酸
Nào	加油
Seoul	首尔
Qi	汈
Với quan điểm	以期
Chiếm	所佔
Răng cưa	鋸齒
công chúa	王妃
Những người bình thường	普通人
Zhu	炷
Huyết tương	等离子
Zhou Jie	周杰
Taki	瀧
khối	擋
nhàn rỗi	闲
Đỉnh Victoria	太平山
hiện hành	现时
Hãn quốc	汗国
Rhineland Palatinate	莱茵兰普法尔茨
Ping	坪
một bài kiểm tra	检查
Khủng long bạo chúa	暴龍
Bằng cấp	資歷
thờ cúng tổ tiên	祔
biên kịch	编剧
Yi	鎰
đồng cỏ	牧場
Không có gì	毫无
Verdun	凡尔登
Cùng một mẹ	同母
Pixel	像素
Gọi	唤
Khó xử	澔
Tát	蹹
Tổ chức	體質
Tin đồn	傳言
Yongsan	泳三
Năng lượng mặt trời	陽能
Yi	乹
Bươm bướm	蝶屬
Rafi	拉斐
Fushun	抚顺
phần mềm	軟件
Jingkang	靖康
Đậu	停泊
Flycatcher	鶲
mua tín dụng	赊
mặt trời sắp mọc	曈
hư hại	损害
Sau thất bại	敗後
Sức mạnh và	力及
Thất bại để	輸給
Mạng lưới	络
Do Thái	犹太
rạp hát	劇院
Hart	哈特
Số lượng nhỏ	小量
riêng tư	私立
Diễn dịch	绎
Khi tôi lớn lên	長大後
ruthenium	釕
mua, tựa vào, bám vào	采购
vu khống	謗
Trường học	辦學
nóng nảy	躁
Với Su	與蘇
chỉ có	只有
binh biến	兵變
Khen ngợi	褮
lời tiên tri	預言
Tìm kiếm	搜寻
Trì trệ	滞
Amiens	亚眠
lí trí	头脑
Trừng phạt	普宁
Trong khoảng	約於
cối xay	砻
Orlois	厄尔卢瓦
Người Duy Ngô Nhĩ	維吾
Thiết lập trường	場設
Ngồi xổm	聸
tốt	善
Cắt	琢
Độc thân	单个
cắt	斩
sỏi	石頭
Nước phát triển	发达国家
Văn hóa và Giáo dục	文教
tối	暝
Lu	鮊
Thổ cẩm	錦
Cần thiết	不可或缺
Tiêu chuẩn quốc gia	国家标准
Khác với	異於
Thành phố và Quận	市县
Ashikaga Yoshi	足利義
Suo	荘
Con muỗi	蚊子
song phương	双边
chỉ có	唯一
nhỏ	小
Whig	辉格
Tunisia	突尼西亞
Sáu bộ	六盘
Được	待
sẽ là	會是
lúc đầu	起先
xiên	斜
Quảng tây	廣西
điện dung	电容
chốc lát	瞬間
Căn giữa	居中
Thời gian	时称
Nhóm nữ	少女組
bán thời gian	兼职
Số hai mươi bảy	第二十七
Chẳng để lam gi	為無
Nói dối	利耶
nịnh nọt	谀
Đào tạo	培
nữ hoàng	皇女
Shilong	氏龍
Lính	兵士
Tiếng ba tư	波斯语
hồi sinh	復興
Từ	起
Kanaga	寬永
nói lại	重复
Hu	眧
Phó	副手
Nước	食水
Tan	膼
Nhồi máu cơ tim	心肌梗
GBP	英鎊
bộ ký tự	字符集
mũi tiêm	喷射
Châu Á	亚
marathon	马拉松
Âm	纇
Lăng mộ	陵区
Thống đốc	刺史
cân nặng	重量
nghiêm trọng	严重
không xác định	不詳
Blog	網誌
nửa chừng	中途
tấm ảnh	照片
Ngược lại	相反地
Công việc của chính phủ	政务
Gọi là	记作
cây	槾
nhà phê bình	批评家
Đá	蹬
thị trường đường phố	街市
Doanh trại	军营
Hani	哈尼
ánh sáng mặt trời	日光
xe hơi	车厢
Ngoài	出
Đồng nghiệp	同鄉
Cảm giác sâu sắc	深感
tình cờ	偶然
gió	风
Yan	栄
quặng	矿石
đốt cháy	烧
Jair	睚
Thật trùng hợp	恰巧
Nội tạng	內臟
Biên niên sử	紀年
Somme	索姆省
Sắc nét	酥
sau đó	于是
ôm	摟
Làm mẹ	母舰
Tròn	雔
Tất cả các loại	種種
Đánh bại	大败
Tao	韬
Ting	霆
hàng xóm	邻居
Điều	東西
trả	賠
Dakko	达科
Giá trị thị trường	市值
Công bằng	股權
Bài viết trên blog	博文
Yan	擯
Da	岦
Phân vùng	區劃
khuôn mặt	面對
Lỗ rò	瘺
Chan	锾
Địa điểm	站点
món ăn	糧食
Tòa nhà chọc trời	摩天大樓
Tương thích	相容
kỷ	百年
Lin	蔏
Nước Phổ	普鲁士
Si	埮
ánh sáng	轻
Reims	兰斯
cấp dưới	部屬
Xiao	骁
lệnh cấm	禁令
Đã ghi vào	錄於
Cận nhiệt đới	亞熱帶
Đầu tiên	首個
Thiết bị âm thanh	音器
Marne	马恩省
Buộc tội	指责
cùng với nhau	一同
Ga xe lửa phía Đông	東站
không thường xuyên	儳
Yumoto	行本
Kho	倉
Trang web cũ	旧址
mục tiêu	目标
thù lao	報酬
Dược sĩ	藥師
nghèo nàn	貧窮
cuộc tranh cãi	争吵
Fu	褾
Bang	朂
sức mạnh quốc gia	国力
Bảo vệ đất nước	護國
Thời gian này	該次
Anzai	安西
Hiroshima	廣島
Trong tầm kiểm soát	控制下
Thành phố cảng	港市
Hệ thống cổ đông	股份制
Giữ	舉辦
Mời bạn đến	請來
Watts	瓦兹
Tang	趍
Tồn tại trong	存在于
Đồng ý	笃
đến cuối cùng	為此
Li	廇
thú vật	的動物
Đánh nhau	交手
Mặt công cộng	公方
Hiện	露面
Sức gió	風力
thành phần	元素
Giai đoạn	相位
Erha	尔哈
Cuối triều đại nhà Thanh	清末
phá bỏ	拆除
TV nhân dân	民視
Ngày đầu tiên	首日
Bố trí	佈置
Miếng	片段
Guoxue	国学
Đàm thoại	談會
Tiu Keng Ling	調景嶺
Với Anh	與英國
Chu	濹
Maha	馬哈
Đẩy về phía	推向
Số không	為零
Miền Trung và Miền Tây	中西
Đẩy lùi	排斥
Yi	彜
Nhập cảnh	入境
hiện đại	现代
Zhenguan	貞觀
ghi lại	録
trái cam	橘色
Cassini	卡西尼
Vội vàng	闯
