Túp lều	庐
Âm mưu	剧情
Fuqing	福清
Biên dịch	篹
Yên tĩnh	静
mùa xuân	泉
Đá bazan	玄武岩
Siêu thị	超市
Kiệt sức	衰竭
Fu	苾
Cắn	嚙
họng	咙
Xấu	谩
Kui	魁
Bao gồm	划入
Va cho	而為
mang theo	捎
Băng sơn	贝尔格
không thấy	不见
Địa Trung Hải	地中海
ca cao	可可
Đang chạy	運轉
Đóng lên	攏
Nhân viên bán hàng	行員
kết hôn	婚姻
Di	棿
Đúng	是發
Làng	寨
mật ong	蜜
Hành trình	旅途
tế nhị	眇
hẻm	衖
Lauren	劳伦
Gel	喱
Không bật	號於
Li	黶
trước	先於
Sinh vật đáy	底棲性
cống vật	贡
Bắt đầu đúng	開始對
Zhu	濴
Anjou	安茹
chow	粻
cây bút	笔
Quản trị	管治
Leningrad	列宁格勒
Chuyển giao	轉入
sợ hãi	觳
đầm lầy đất thấp	窊
đầy	充满
Trăng sáng	明月
đục đẽo	凿
Ao	鰲
vườn	花園
lò nồi	瓢
tự do hóa	自由化
hổ thẹn	惭
Khuyến mại	晋升
Zhang Taiyan	章太炎
Tỷ lệ xem	視率
Shihu	石虎
Phong phú	多樣
leo lên	进行
Tòa án nhân dân	人民法院
hào phóng	慷
Trăng tinh	大白
Niêm mạc	黏膜
dứt khoát	决定性
Mụn rộp	皰
Smilax	菝
Đã thanh toán	付費
thiết kế	设计
Choi	崔
Tham vọng	野心
Kate	凱特
Lọc	煉
bị hỏng	碎
Quận	郡县
quân khu	軍區
Thang máy giữa	中舉
Zhu	仏
Các	該
Tỷ lệ bình chọn	票率
Liren	立人
Phủ sóng	覆盖率
hạn chế	限定
Luo	冞
Coro	科羅
Castile león	卡斯蒂利亚莱昂
phủ nhận	否认
kết nối	連接
rung chuyển	摇
Trở nên khác biệt	有所不同
Mang	帶著
Nhảy vọt	閏
mủ	膿
thừa hưởng	传承
mỏ lết	鹪
Long Chao	龍超
vừng	芝麻
sân bóng đá	足球场
Liêu Dương	辽阳
Điều khiển hỏa	火控
Wanli	萬里
khỏe	精細
Đi qua	流逝
So sánh	比對
Tiếng Quảng Đông	廣東話
Marmoset	苨
Taishi	太师
Kun	鲲
ghế tre	箯
Ye	掦
Geneva	日內瓦
Bánh gạo	糇
Mikhail	米哈伊尔
Thrace	色雷斯
hai mươi hai	二十二
Ohio	俄亥俄
Nico	尼可
Tận hưởng năm	享年
Khởi đầu	開始
Tàu tuyến	線列車
Không hợp hiến	違憲
Tử tước	子爵
Cho Zhang	為張
Sẽ là bởi vì	會因為
Hệ thống cạnh tranh	賽制
Kéo	拖曳
Ed	愛德
Sẽ	會將
Đẹp	儔
đúng	权利
Erhu	二胡
Cũ	在舊
Cha mẹ	家长
Không bao giờ	從沒
đông lại	冱
vì thế	這麼
Yi	乢
Thắng cảnh	景区
Bậc thầy	夫子
Tình nguyện viên	自願
Quyền hạn	所轄
Riel	瑞爾
Giường	貝德
cái cốc	卮
Giáo dục	教科
Vậy nên	以至于
Đường ngắn	短道
Quạt	樊
tiêu cực	負
Thành lập	创始
dài nhất	最長
Hoàng đế tối cao	太上皇
đứa trẻ	子
Tự nhiên	原生
Tạo nên	開創
Cuộc tổng tuyển cử	統選
Anh trai	內哥
phong hóa	风化
Cứu giúp	祐
Yuwan	豫皖
Benzyl	芐
Yunlin	雲林
bão hòa	飽和
Hu	躶
Đăng ký	登記
Hợp nhất	並協
Tian	田氏
tuổi thọ	長壽
Xấu hổ	膥
Xác nhận	证实
Lo lắng	惂
Kiêu ngạo	恣
bãi bỏ	废除
kịch	戲曲
Đối với	為從
độc lập	獨立
Ria	里亚
khuynh hướng	趨勢
Ikebukuro	池袋
Sui	眭
Bick	比克
Yunshan	雲山
Vấn đề là	點是
Quy mô lớn	大舉
Lào	嬈
sự sụp đổ	崩溃
Nell	内尔
Chỉ huy quân đội	武将
Mở ra	展開
Cá mèo	鲇
Đêm	晪
Hiroshi	弘
Cứu giúp	幫忙
Trận đấu	赛
Chọn	選用
thang	階梯
Bugal	布加勒
nhận bằng cả hai tay	匊
Các kết quả	成果
Ngay	当即
Chiến lược	经略
Năng suất	产量
Mo	的摩
Đắng	鳽
Ở trên	上則
giai thoại	軼事
Hú	嘯
Nắm bắt cơ hội	趁机
Con số	为数
tinh thần	碛
Thiên nga	天鹅
Dịp tốt	契機
nhà ở	民宅
Mỗi	每次
bàn	錶
Sự ngạc nhiên	驚奇
viễn thông	电信
Góc đầu	头角
Shu	涑
bờ biển	漘
Tên mã	代號
Căng ra	抲
mất điểm	失分
Zhaozong	昭宗
ký tên	簽署
món nợ	债务
bên bờ biển	海边
Trong chiên tranh	戰爭時
Nếu không thì	除此以外
Triều đại Bắc Tống	北宋
Giác ngộ	啟蒙
Một quốc gia, hai	一國兩
đau đớn	痛苦
sự ngừa thai	避孕
y tá	護士
tiểu bang	态
Mã hóa	码器
Khi nào	時被
Mảnh vụn	碎屑
Jordan	佐敦
Một hớp	呷
trang điểm	弥补
Sau chiến tranh	戰結束後
đắt	昂
Yêu thích	最愛
Jundu	节度使
Xi	晞
Jing	璁
đột nhiên	猝
Congeal	凝
Với mọi người	與人
bố	父親
Đẻ nắm lấy	為擁
Warsaw	華沙
sao chép	复制
đã kết thúc	讫
Tong	丅
Tây nam	西南部
Sau	後為
ngoại tình	私通
Johnson	強森
hung dữ	猛
Ở châu Á	於亞洲
Miếng	颗
Kết hợp với nhau	绾
Cửa xe	車門
Thỉnh thoảng	間中
quyền lực	動力
chỉ có	衹
Sơn đông	山东
Huyện	该区
Ngay	立刻
niêm phong	鈐
Cruciferae	十字花科
Giám sát	监
Thiền sư	禪師
Di cư	迁徙
Lá dài	长叶
Moza	莫札
Đưa cho	予以
Xianfeng	咸丰
Nair	奈尔
Chỉ huy quân đội	军长
Làm	使得
Operculum	鰓蓋
dây đai	絛
Đà điểu	鴰
Giữa	間為
hình thức	形态
Theo sắc lệnh	下詔
nghiên cứu	研究
Máy bay địch	敵機
Đã	曾為
rửa	盥
Rao	饶
phát sóng	廣播
trẻ sơ sinh	婴
Xem	請參閱
tranh cãi	論戰
Dazhong	大中
Tình nhân	爱好者
Trò chơi	運會
loa	喇叭
Bắt chước	效仿
Đại Tây Dương Pyrenees	比利牛斯大西洋
có thể nói	會說
Chiến đấu khó khăn	苦戰
Tách rời	分離
Cơ sở nhà	全壘
Trừng phạt	罚
Tây du ký	西遊記
Phạm vi gần	近距
Lễ hội Xuân	春节
Góc phải	直角
Châu Mỹ	美洲
ý định	意向
ngón tay cái	拇指
Giải thưởng cho người mới	新人獎
Gọi cho anh ấy	稱他為
Vắt kiệt	摡
xóa bỏ	删除
Song Gaozong	宋高宗
Đông Âu	东欧
chuyến du lịch	巡迴
Thanh	卿
Tiểu cầu	血小板
Trường luật	法学院
Giới hạn trong	限於
Cai trị	主政
Mong	盼望
Kalka	卡尔卡
Chiến tranh giữa các vì sao	星球大战
Văn phòng	事務署
Phụ trách	分管
Cận Bình	金平
Yanzhou	兗州
quai hàm	颌
Cũng được biết đến như là	又名
Bánh xe nhỏ	小輪
lớn	盛大
khó khăn	艰难
Mecklenburg Front Wave	梅克伦堡前波
Người đó	那位
Giả định	推定
hiệu ứng	效
Năm năm	五年
Thường đề cập đến	通常指
Hội đồng lập pháp	立法局
Xiaogang	小港
Khoang miệng	口腔
tiệc	觴
Trường quân sự	軍校
dữ dội	严厉
Lùi lại	迁回
sâu	蠕蟲
buồn	忡
mù	瞎
Gus	格斯
trà	茶葉
Thân hình	形体
chèo thuyền	槳
Săn chắc	华亭
khối lượng	彌撒
nhà tư tưởng	思想家
quang điện	光電
Kadokawa	角川
Thời thơ ấu	小时候
Ling	淩
Indene	茚
Nguôn gôc tư bo	牳
thay đổi	變更
Tia vây	鰭條
phanh	刹
Yong	墼
Tây Âu	西欧
điều đáng tiếc	怜
ủng hộ	支援
Ăn mặc	身着
Cấp thị trấn	乡镇级
hoàn thành	毕
Mặt bích	法蘭
Suy ngẫm	反省
Có thể	可被
Trước cửa	門前
Con gián	砊
Thủ lĩnh	盟主
Xa xôi	遥
bạch kim	铂
Chương trình này	本剧
Lei	蒒
Nghĩa vụ quân sự	軍從
giáo viên	教師
Lối thoát	出路
kính	眼鏡
cho ăn	饲料
Chói sáng	亮眼
Bang	咚
Sôi lên	熖
Năng lực	人才
kiềm chế	锢
Chia buồn	悼
Đứng lên	峙
Banga	班加
Lảm nhảm	嘑
người ăn thịt người	食人
Kang	炡
lưới cá	罽
Tiền lương	薪資
Zhen	贞
Perry	佩里
bình minh	晓
Meuse	默兹省
Ba mươi ngàn	三萬
Travi	特拉维
đầy	饱
lấp đầy	阗
Sejong	世宗
Vinh quang	光輝
Compositae	菊科
độ đàn hồi	弹性
họa sĩ	畫家
định lý	定理
Gutian	古田
Nghi can	嫌犯
Bún	麇
Cấp dưới	下设
Sheila	希拉
Tai O	大澳
Reel	繅
kì nghỉ hè	暑假
Quay	旋转
Cân nặng	砝
Brussels	布鲁塞尔
Thời thơ ấu	幼時
Nút thắt chiến tranh	戰結
Valle	瓦莱
Hoa Kỳ	美国
Thảo Cầm Viên	植物园
bôi đen	黷
Shangan	陕甘
Mỗi hai	每兩
Anh trai	哥哥
Vướng mắc	糾纏
Vận động viên điền kinh	奧林比安
lưỡi	叶片
mụn	痤
đàn nguyệt	琵
Tỉnh Okayama	岡山縣
không rõ ràng	恍
Dương	陽
Đa dạng	品種
năm sau	明年
hình học	几何
Purine	嘌
Không theo dõi	无轨
Bắt	抓获
Wanli	萬曆
trôi chảy	流利
Tây Ninh	熙宁
hệ thực vật và động vật	动植物
Mái vòm	巨蛋
Đối với miền Nam	為南
thay đổi	改动
hành chính	行政
Vie	维埃
thẩm quyền	权威
bầy đàn	人群
lãnh đạo	首领
chợ đêmJi	夜市霚
Jincheng	金城
Hiệu quả	有效性
co bé lại	逡
Cạnh tranh quốc tế	國際賽
Dòng ngựa	馬綫
Tháng sáu	钧
Mọi người	人
chứng chỉ	证
mũi tên	箭
Baldwin	鲍德温
đồn trú	戍
Chống Nhật	反日
Mọi nơi	处处
Kiin	棋院
Thương tiếc	讑
Áo sơ mi	衫
Hiệu quả	成效
Kinh thánh	經文
Thay đổi	改元
bộ xử lý	處理器
Ireland	愛爾蘭
Zhi	誌
rọ mõm	槍口
Lớn lên	生长
Thuyết giáo	鼓吹
Chiên	弗莱
cấp	等级
nhà máy điện	發電廠
Kẻ bắn tỉa	狙擊手
sàn nhà	樓面
nghệ thuật	藝術
Trại tập trung	集中营
một số	有些
Sắp xếp	編曲
Giải cứu	救回
Bạn	偦
nước bóng	光澤
sự dự đoán	預測
giai đoạn = Stage	時期
Miêu tả	描绘
Lanyang	蘭陽
Monte	蒙泰
Cục	局
vết trầy	颳
ma	嬷
Trẻ	歭
Giới thiệu	介
Đặt trên giá	上架
Cao đẳng kỹ thuật	工学院
Hom	磡
Số Pi	貑
nhọn	畟
hành hung	撄
Cà vạt	髤
Tường	牆
cơ quan nội tạng	腑
Cô	小姐
kiếm	掙
Hakama	袴
Tây An	娴
Christine	恭
Sẽ	還會
Vetch	苕
Mingxin	明信
quyên góp	捐
Rực rỡ	艷
R; lt '; FL	續作
Áo choàng	袵
Sách về	的書
Ở nhà	在家
dải	褫
sai	假
đồng phục	匀
thừa hưởng	傳承
Giảng dạy và Nghiên cứu	教研
Gấu đen	黑熊
Kết hôn	娶
sự giàu có	财富
gốc	原點
ngâm	浸泡
đọc	阅读
Hướng tới	朝著
Jin Jun	晉軍
tàn bạo	野蠻
Hình lục giác	六角
Tên loài	種名
Vạn đò	爢
Jinggangshan	井冈山
Thời hiện đại	近代
báo tuyết	雪豹
Trận chiến	戰況
Sức khỏe	壎
Yên tĩnh	蚄
Đang nói	話中
giai đoạn = Stage	期間
Lille	里尔
Kefu	克福
Yap	邑
sự giải trí	娱乐
ranh giới	邊界
Tham khảo ý kiến	谘
Domin	多明
sư tử	蓑
Sẽ	會對
nhưng	卻
Khu vực nông thôn	农村
bắt đầu	始
lòng trung thành	忠誠
Công trường	工地
tỉnh Giang Tô	江苏省
Được dịch là	譯為
co giật	搐
Chen Hui	陳慧
Gore	戈爾
Tảng đá	巨石
Vắt kiệt	搡
Đẹp	奀
Tai Kok Tsui	大角咀
Thay thế	转而
Wen Cheng	文成
Chi	蚩
phần thưởng	收穫
Điều	东西
Xác suất	概率
Charles	查爾斯
Tới Hồng Kong	對香港
Li	靬
vật chất	實質
Trung Quốc	中华
đọc	读作
Họ cua	蟹科
thay đổi	變
Xuân	瑁
Phe phái	派系
Giáo dục	學歷
ga xe lửa	火車站
Fiasco	慘敗
cánh tay	軍備
quạt lông vũ	纛
Quan	仌
Không cần	不用
say	酗
Trải nghiệm sống	身世
Thống đốc	都督
Tsuji	辻
Vosges	孚日省
kiêu ngạo	骄
Costa	哥斯达
Lòng trung thành	效忠
Tập ảnh	張專輯
kỹ năng	技藝
học giả	學者
Tính là	算作
Trường hợp này	此案
bay lượn	滑翔
Đó là	即有
Hét lên	哷
Eustoma	鵸
hội,, tổ hợp	組裝
Nên	是該
sự thỏa mãn	满意
Hughes	休斯
nằm nghiêng	趄
chớp cánh	撲
Quận Wan Chai	灣仔區
Biển thủ	挪用
Xiguan	西关
cối xay	磨
xe điện ngầm	地下鐵路
Đóng quân	驻守
Cá tầm	貟
đưa ra	裒
loa	議長
ánh sáng	光之
chảy ra	外流
Nano	納米
Đại thừa	大乘
giống	似
đội	团队
Olympic	屆奧
hình thức	形成
suy nghĩ	想到
Jintian	金田
Con gà trống	屇
Bang	梱
Mạnh	強勢
Sắc lệnh	诏
tự xưng mình là hoàng đế	稱帝
Tang Jun	唐军
lực lượng	偪
Hu	彔
Albedo	反照率
cuộn	滾
Gà lôi	鷳
Guoan	國安
lụa	絲綢
Ti thể	线粒
Dịch vụ cảnh sát	警務處
biết rôi	知道
Khám nghiệm hoàng gia	科舉
ướt	浥
viết lại	改写
tẩy	祛
Thành phố có	市有
Hồ Chí	胡志
Xi	鍗
Ode	頌
Tòa nhà chính	總樓
trên đường	途中
Gọi nó đi	稱之
mềm mại	柔
liên hiệp	會聯
nạn nhân	被害人
Nhiệt độ	气温
chắc chắn	牢固
Đêm giao thừa	夏娃
màn	银幕
Yu	斾
Gangwon-do	江原道
Người thuê nhà	租戶
Yun	韞
Kuaiji	會稽
Hôm nay	當今
vinh quang	光荣
tiêu đề	头衔
magiê	镁
giác quan	感
Li Yuanhong	黎元洪
Khác nhau	纷
trùng hợp	巧合
Đột phá	突围
ban đầu	最初
Cửa hàng	门市
Aru	阿魯
chồi non	藟
Chẩn đoán	診
người Ấn Độ	印第安
chơi	演
Ngồi xổm	飝
các tập tin	档
Sưng lên	膨胀
Đồng hồ đeo tay	睇
Chiến trường	野戰
Lượng mưa	降雨量
cửa tiệm	商铺
Ôn tập	评审
tải	负载
Trong quân ngũ	军中
Lai Chao	賴朝
Sartre	萨特
Âm	辎
vui sướng	欢乐
Chiều dài ô tô	車長
năm nhuận	闰年
mệt mỏi	累
Cùng tháng	同月
Zhongdan	中擔
Xa lánh	齕
Kun	昆
Làng Tây	西村
Noel	諾爾
Ba mươi tám năm	三十八年
Vấn đề này	此事
CEO	執行長
báo cáo	報告書
Xấu hổ	趷
Bạch Dương	白羊
Cái lều	幄
nhà máy rượu	酒廠
Qian	黔
Người đi bộ	沃克
Giảm bớt	緩和
Nâng cao	推进
An Nghỉ	安息
Thiên niên kỷ	千禧年
dọn dẹp	清潔
chính thức	仕
Số là	數為
sinh viên	学生
Sách Đường xưa	旧唐书
Trừng phạt	惩
Cả trường	全校
Bustard	鸨
Mou	澖
Bài đăng trên thế giới	世职
phá dỡ	拆毀
Bầy đàn	眾
Ria	鬍子
Tên	名号
Cắm vào	外掛
Wei Ye	維也
Chelsea	車路士
Alexander Dennis	亞歷山大丹尼士
sự nguy hiểm	阽
Đầu hàng	招降
Mọi người biết	人知
cô	嬸
Làm tiêu hết	扫荡
thuốc uống	藥物
Đường Nam Kinh	南京路
deuterium	氘
muốn	要
Hồ chứa	水库
nước ngọt	淡水
cô đơn	觭
Người đi bộ	佩德
Mihai	米哈伊
Cố ý	審議
Quan điểm	展望
Đào ra	挖出
vụng về	拙
Chúa Giêsu Kitô	耶穌基督
quai hàm	颚
buồn	惻
màu vàng	黈
Vừa và nhỏ	中小型
khi nào	噹
lỗ thông hơi	洩
Cuộc bầu cử	選戰
xem	見
Phát biểu	言论
Đi	觿
Trung bình hàng năm	年均
Loach	鳁
Sạc điện	收取
Wayne	韦恩
Hai chiều	双向
Sóng điện từ	电磁波
nồi	煲
Olin	奧林
Siêng năng	勤
nhưng	但
Hoàng đế	黄帝
quan hệ tình dục	性交
Vôn	电压
Làng tự nhiên	自然村
cô ấy đã	她
Núi sâu	深山
Sikong	司空
viền	輪廓
Có thể	可於
Quấn quanh	缠
Gila	吉拉
Giang nam	江南
Các thành viên	員會
Vận động	調動
mạng tinh thể	欞
người chết	死亡人数
Gao	藁
cây cột	支柱
Sự cấu thành	选区
Bóng chày	螄
di chuyển	遷
Đường Sơn	唐山
Vàng lớn	黃金大
tâm lý học	心理学
Conrad	康拉德
cơ chế	机构
làm hại	妨
Tắc nghẽn	擠塞
ngụ ngôn	寓言
thanh kiếm	剑
Khai giảng	开学
Đã xem	看過
Marin	馬林
Ngớ ngẩn	诙
chấm dứt	终止
Khoa Vật lý	物理系
Phái viên	使臣
khỏe	细
khó khăn	難
đề tài	话题
con hổ	鰕虎
Nếu có	如是
Bacillus	桿菌
Những con gà	鸡
muốn	慾
Đã đồng ý	商定
cực	極度
Âm	閦
Hu	斉
Surrey	萨里
Luo Dong	羅東
holmium	钬
Lin Yixiong	林義雄
Chơi chữ	娉
Shigu	石鼓
Đi	踈
Sinh ra	诞生
Ứng cử viên	候选
Cụp	垂
Tao	滔
Mite	螨
Cá tráp	鳊
nghệ sĩ piano	钢琴家
kính thưa	親
George	喬治
Đi làm	通勤
hành pháp	執法
Phá sản	破产
đồng thời	同时
Di tích lịch sử	古迹
Đến	徇
Fei	翡
kính thưa	禔
Kun	韔
bút danh	假名
