Afghanistan  阿富汗
Namibia  纳米比亚
Nauru  瑙鲁
Nepal  尼泊尔
Antilles thuộc Hà Lan  荷属安的列斯群岛
Tân Thế giới  新喀里多尼亚
New Zealand  新西兰
Nicaragua  尼加拉瓜
Cộng hoà Niger  尼日尔
Nigeria  尼日利亚
Niue  纽埃
Đảo Norfolk  诺福克岛
Na Uy  挪威
Ôman  阿曼
Pakistan  巴基斯坦
Cộng hoà Palau  帕劳
Palestine  巴勒斯坦
Panama  巴拿马
Papua New Guinea  巴布亚新几内亚
Paraguay  巴拉圭
Peru  秘鲁
Philippines  菲律宾
Đảo Pitcairn  皮特开恩岛
Ba Lan  波兰
Bồ Đào Nha  葡萄牙
Đảo Puerto Rico  波多黎各岛
Qatar  卡塔尔
Nam Sudan  南苏丹共和国
REUNION  留尼汪岛
Rumani  罗马尼亚
Nga  俄罗斯
Rwanda  卢旺达
Saint Kitts và Nevis  圣基茨和尼维斯
San Marino  圣马力诺
Sao Tome và Principe  圣多美和普林西比
Ả Rập Saudi 沙特阿拉伯
Ả Rập Xê Út  沙特阿拉伯
Sênêgan  塞内加尔
Serbia  塞尔维亚
Seychelles  塞舌尔
Sierra Leone  塞拉利昂
Singapore  新加坡
Tiệp Khắc  斯洛伐克
Slovenia  斯洛文尼亚
Quần đảo Solomon  所罗门群岛
Somalia  索马里
Nam Phi  南非
Tây Ban Nha  西班牙
Sri Lanka  斯里兰卡
STHELENA 圣赫勒拿和阿森松岛等
ASCENSION  圣赫勒拿和阿森松岛等
STLUCIA  圣卢西亚
STPIERRE AND MIQUEL  圣皮埃尔岛和密克隆岛
Saint Vincent và Grenadines  圣文森特和格林纳丁斯
SURINAM  苏里南
Quần đảo Svalbard 斯瓦尔巴群岛
Swaziland  斯威士兰
Thụy Điển  瑞典
Thụy Sĩ  瑞士
Syria  叙利亚
Tajikistan  塔吉克斯坦
Đài Loan 台湾
Tanzania  坦桑尼亚
Thái Lan  泰国
Bahamas  巴哈马
Comoros  科摩罗
Quần đảo Cook  库克群岛
Congo  刚果金
Dominica  多米尼加
Quần đảo Faroe  法罗群岛
Gambia  冈比亚
Hà Lan  荷兰
Congo  刚果
Hàn Quốc  韩国
Sudan  苏丹
Togo  多哥
Quần đảo Tokelau  托克劳群岛
Vương quốc Tonga  汤加
Trinidad và Tobago  特立尼达和多巴哥
Tunisia  突尼斯
Thổ Nhĩ Kỳ  土耳其
Turkmenistan  土库曼斯坦
Quần đảo Turks và Caicos  特克斯和凯科斯群岛
Tuvalu  图瓦卢
Hoa Kỳ  美国
Uganda  乌干达
Ukraine  乌克兰
UAE  阿联酋
Vương quốc Anh  英国
Các tiểu đảo xa của Hoa Kỳ  美国本土外小岛屿
Uruguay  乌拉圭
Uzbekistan  乌兹别克斯坦
Vanuatu  瓦努阿图
Vatican  梵蒂冈
Venezuela  委内瑞拉
Việt Nam  越南
Quần đảo Virgin thuộc Hoa Kỳ  美属维尔京群岛
Quần đảo Wallis và Futuna  瓦利斯和富图纳群岛
Tây Sahara  西撒哈拉
Cộng hòa Yemen  也门共和国
Cộng hòa Zambia  赞比亚共和国
Zimbabwe 津巴布韦
